slug,name,status,founded_year,hq,website,sector,one_liner,total_raised_m,latest_valuation_m,employees,revenue_signals,business_model,key_customers,team_china_profile,confidence,last_updated
ceramic-ai,Ceramic.ai,active,2024,"Mountain View, CA",https://www.ceramic.ai,AI Training Infrastructure,AI model training platform — 2.5x faster training on longer sequences. Founded by ex-Google VP.,12.0,,,,,,,medium,2026-03-21
cerebras,Cerebras Systems,active,2015,"Sunnyvale, California, USA",https://www.cerebras.ai,AI Hardware / Semiconductors,Cerebras Systems is an AI semiconductor company that designs and manufactures the world's largest computer chips -- Wafer-Scale Engines (WSE) -- purpose-built for AI training and inference,4300.0,23000.0,500 (estimate; exact figure uncertain),,,,,high,2026-03-20
chai-discovery,Chai Discovery,Private,2024,"San Francisco, CA",https://chaidiscovery.com,Biotech AI / Molecular Discovery,"Chai Discovery is building foundation models for molecular discovery -- essentially a ""computer-aided design suite"" for biological molecules",225.0,1300.0,50-100 (estimated),,,,,high,2026-03-20
chainguard,Chainguard,active,2021,"Kirkland, WA (fully remote)",https://www.chainguard.dev,software supply chain security; open source security; container security; AI workload security; cybersecurity,Secure-by-default container images and software supply chain security platform for open source and AI workloads.,612.0,3500.0,,ARR grew 7x to $40M in FY2025. Company targets $100M+ ARR before end of FY2026. Profitable growth trajectory with strong enterprise adoption.,"Enterprise SaaS. Chainguard Images provides hardened, minimal container images with zero known CVEs as a subscription product. The company also offers Chainguard Libraries for secure open-source language packages. Revenue model is per-image or platform subscription pricing for enterprises. ARR grew 7x to $40M in FY2025, targeting $100M+ ARR before end of FY2026.",,,high,2026-03-24
chalk-ai,Chalk,Private,2022,"San Francisco, CA",https://chalk.ai,AI / Data Infrastructure / ML Infrastructure,"Real-time data platform for AI inference that provides the infrastructure needed to operationalize machine learning and AI at scale across industries including fintech, healthcare, and e-commerce",60.0,500.0,,,,,,high,2026-03-23
chaos-industries,Chaos Industries,active,2022,"Los Angeles, California",https://www.chaosindustries.com,defense-govtech; artificial-intelligence; counter-drone,Counter-drone radar and AI-powered communication systems for defense and critical infrastructure protection.,1000.0,4500.0,,Over $1B raised in total funding. The rapid funding pace (Series B to D in 18 months) and $4.5B valuation suggest significant contracted revenue or government orders. The counter-drone market is estimated at $5B+ annually and growing rapidly due to drone threats globally. [Confidence: low -- no public revenue figures.],"Defense hardware and software company focused on counter-drone detection and defeat. Chaos Industries builds the Vanquish radar system, which detects small unmanned aerial vehicles at ranges of hundreds of kilometers, along with AI-powered communication and electronic warfare systems. Revenue comes from government defense contracts and sales of hardware systems to military and critical infrastructure customers.",U.S. Department of Defense; U.S. military branches; Critical infrastructure operators; Allied military forces,No China connection. Founders are American defense tech entrepreneurs. The company builds counter-drone systems for the US military and allied forces.,medium,2026-03-20
character-ai,Character.AI,"Operating independently, but hollowed out by Google talent deal; facing major legal and regulatory headwinds",Nove,"Menlo Park, California",https://character.ai,Consumer AI / Conversational AI,Character.AI is a generative AI chatbot platform that allows users to create and converse with customizable AI characters,193.0,2500.0,259 (as of February 2026),,,,,high,2026-03-20
charge-robotics,Charge Robotics,active,2021,"Oakland, CA, USA",https://www.chargerobotics.com,Robotics / Solar Energy / Construction Automation,Robotics company automating solar farm construction with autonomous machines that assemble and install solar-tracking hardware.,39.0,,,,,,,medium,2026-03-23
charm-therapeutics,Charm Therapeutics,Private,2021,"London, UK",https://charmtx.com,Biotech AI / Drug Discovery,Charm Therapeutics (stylized as CHARM) is a London-based biotech company using deep learning to discover and develop drugs against hard-to-drug targets,150.0,,50-80 (estimated),,,,,high,2026-03-20
chipmind,Chipmind,active,2024,"Zurich, Switzerland",https://www.chipmind.ai,AI for Chip Design,AI agents for chip design and verification — cuts dev time 40%. Zurich-based.,2.5,,,,,,,medium,2026-03-21
chroma,Chroma,active,2022,"San Francisco, CA, USA",https://www.trychroma.com,AI / Vector Database,Open-source AI-native embedding database for building LLM applications with long-term memory and retrieval.,20.0,,,,,,,high,2026-03-23
claimsorted,ClaimSorted,active,2024,"London, UK",https://www.claimsorted.com,AI InsurTech / Claims,AI-powered insurance claims processing automation.,13.3,,,,,,,medium,2026-03-21
clarify-ai,Clarify,active,2024,"Seattle, WA",https://www.clarify.ai,AI CRM / Sales Automation,AI-native autonomous CRM that manages customer engagement from first touch to closed deal. Takes on Salesforce with agentic automation. Co-founders previously built Iteratively (acquired by Amplitude).,22.5,,,,,,,medium,2026-03-23
classiq,Classiq,active,2020,"Tel Aviv, Israel",https://classiq.io,Quantum Computing / Software,Quantum computing software abstracting circuit design — design and run complex quantum algorithms without low-level code.,110.0,,,,,,,medium,2026-03-21
clay,Clay,Private,2017,"New York, NY",https://www.clay.com,AI / Sales Intelligence / GTM Automation,AI-powered data enrichment and workflow automation platform that lets go-to-market teams build personalized outbound pipelines by combining 130+ data providers in a spreadsheet-like interface,204.0,,1167 (Feb 2026 per Tracxn),,,,,high,2026-03-20
cleanlab,Cleanlab,Acquired by Handshake (January 2026),2021,"San Francisco, CA",https://cleanlab.ai,Data-Centric AI / Data Quality / AI Reliability,Cleanlab is a data-centric AI company that pioneered automated data quality tools for machine learning,30.0,,,,,,,high,2026-03-24
cline,Cline,active,2024,"San Francisco, CA",https://cline.bot,AI coding; developer tools; open source; agentic AI; enterprise software development,"Open-source AI coding agent giving developers transparent, flexible AI-assisted coding with full control over spend and model choice, used by 2.7M+ developers.",32.0,,,"2.7M+ installs with strong organic growth. Fortune 500 customers (Samsung, SAP). Cline Teams enterprise product launched July 2025. The open-source-to-enterprise conversion funnel is proven (similar to GitLab, Elastic, etc.). Specific ARR not disclosed.","Open-core. The core Cline AI coding agent is open source and free, driving massive developer adoption (2.7M+ installs). Revenue comes from Cline Teams, an enterprise product launched alongside the Series A, which provides team collaboration, security, compliance, and management features for large organizations. Cline's differentiator is transparency -- developers see exactly what the AI is doing and control their own API spend across any model provider.",,,high,2026-03-24
coactive-ai,Coactive AI,"Active, Private",2021,"San Jose, California",https://www.coactive.ai,Enterprise AI / Multimodal AI / Visual Content Intelligence,"Enterprise AI platform that transforms unstructured visual data (images and video) into searchable, insight-rich information for media and retail companies",44.0,200.0,66 (as of late 2025),,,,,high,2026-03-20
code-metal,Code Metal,active,2022,"Boston, MA",https://www.codemetal.ai,AI Developer Tools / Code Translation,Verifiable AI code translation tools.,125.0,,,,,,,medium,2026-03-21
coderabbit,CodeRabbit,Private (Series B),2023,"San Jose, CA",https://www.coderabbit.ai,AI-Powered Developer Tools,"CodeRabbit is an AI-powered code review platform that integrates directly into existing developer workflows through GitHub, GitLab, Azure DevOps, and Bitbucket",88.0,550.0,24 (2025),,,,,high,2026-03-20
cogent-security,Cogent Security,active,2024,"San Francisco, CA",https://cogent.com,AI Cybersecurity / Vulnerability Management,Agentic AI for end-to-end vulnerability triage and remediation. Ex-Abnormal Security team.,53.0,,,,,,,medium,2026-03-21
cognida-ai,Cognida.ai,active,2023,"Chicago, IL",https://www.cognida.ai,AI Enterprise / Deployment Platform,Enterprise AI deployment platform — implements AI solutions in 10-12 weeks. 30+ enterprise clients.,15.0,,,,,,,medium,2026-03-21
cognition-ai,Cognition AI (Cognition Labs),"Active, Private",2023,"San Francisco, CA",https://cognition.ai,AI / Developer Tools / Autonomous Coding Agents,"> Makers of **Devin**, the world's first autonomous AI software engineer, and acquirers of **Windsurf**, the AI-powered IDE",696.0,10200.0,286 (as of Feb 2026),,,,,high,2026-03-24
cohere,Cohere,Private,2019,"Toronto, Ontario, Canada",https://cohere.com,Enterprise AI / Large Language Models,Cohere is a Toronto-headquartered enterprise AI company that builds large language models (LLMs) and AI platforms for business use,1540.0,7000.0,500+,,,,,high,2026-03-24
colossal,Colossal Biosciences,active,2021,"Dallas, TX",https://colossal.com,de-extinction; synthetic biology; CRISPR gene editing; AI-driven genomics; conservation technology,"De-extinction biotech company using AI and CRISPR to bring back extinct species including the woolly mammoth, thylacine, and dodo.",555.0,10320.0,,Near-term revenue through ViaGen Pets (commercial pet cloning). Form Bio provides computational biology software. Core de-extinction programs are pre-revenue research. The $10.3B valuation reflects long-term technology potential and IP value rather than current revenue.,"The company generates near-term revenue through subsidiary businesses while pursuing long-term de-extinction goals. Acquired ViaGen Pets (animal cloning company) in November 2025 for near-term revenue. Also developing AI-driven drug discovery and conservation technology applications. The de-extinction projects (mammoth calves expected by 2028) represent longer-term commercial opportunities in conservation, tourism, and genetic technology licensing.",,,high,2026-03-24
composio,Composio,active,2023,"San Francisco, CA, USA",https://composio.dev,AI / Agent Infrastructure,Developer platform providing tool integrations and skills layer for AI agents to interact with enterprise applications.,29.0,,,,,,,high,2026-03-23
conduct-ai,Conduct,Private,2024,"London, UK",https://www.conduct.tech,AI / Enterprise Software / ERP Modernization,"AI-powered platform that enables enterprises to engage directly with their legacy ERP environments, using AI agents to modernize and automate complex business operations",12.0,,,,,,,high,2026-03-23
console-ai,Console,active,2024,"San Francisco, CA",https://www.console.com,AI IT Support / Agents,"AI IT support agent via Slack — resolves 50%+ tickets autonomously. Customers: Ramp, Scale AI, Webflow.",29.2,,,,,,,medium,2026-03-21
contextual-ai,Contextual AI,Active,2023,"Mountain View, California",https://contextual.ai,Enterprise AI / RAG Infrastructure,"RAG-native enterprise AI platform that end-to-end optimizes retrieval and generation, founded by the researchers who invented RAG at Meta FAIR",100.0,150.0,51-200,,,,,high,2026-03-20
continua-ai,Continua AI,Private,2023,"New York, NY",https://continua.ai,AI / Social AI / Productivity,"Social AI platform that brings always-on AI agents into group chats on SMS, iMessage, and Discord to enhance collaboration, set reminders, launch polls, and manage plans",8.0,,,,,,,high,2026-03-23
continue,Continue,Private (Seed),2023,"San Francisco, CA",https://www.continue.dev,AI-Powered Developer Tools,Open-source AI coding assistant for VS Code and JetBrains that provides source-controlled AI checks on every pull request to enforce team conventions,5.6,,10 (estimated 2025),,,,,medium,2026-03-20
converge-bio,Converge Bio,active,2024,"Boston, MA",https://converge-bio.com,AI Drug Discovery / Generative Biology,"Generative AI for drug discovery — target discovery, antibody design, protein manufacturing. 12+ pharma customers.",30.0,,,,,,,medium,2026-03-21
copy-ai,Copy.ai,"Acquired by Fullcast (October 15, 2025)",2020,"Remote-first (Memphis, TN origin)",https://www.copy.ai,AI marketing; generative AI; enterprise AI,"Copy.ai is a generative AI platform that evolved from an AI copywriting tool into a full-stack ""GTM AI"" (Go-To-Market AI) platform for sales, marketing, and revenue operations teams",19.8,,50-180 (conflicting sources; likely 50-60 at time of acquisition),,,,,high,2026-03-24
coram-ai,Coram AI,active,2021,"San Francisco, CA",https://coram.ai,AI Video Analytics / Workplace Safety,Turns existing security cameras into intelligent AI detecting safety incidents and monitoring compliance.,30.0,,,,,,,medium,2026-03-21
coreweave,CoreWeave,"Public (IPO March 28, 2025)",2017,"Livingston, New Jersey",https://www.coreweave.com,AI / GPU Cloud Infrastructure,"CoreWeave is a specialized GPU cloud infrastructure provider purpose-built for AI workloads, high-performance computing (HPC), and visual effects (VFX)",2400.0,,1500+ (estimate; exact figure uncertain),,,,,high,2026-03-24
corvic-ai,Corvic AI,active,2023,"Mountain View, CA",https://corvic.ai,AI Data Infrastructure / Cognitive,Data-centric AI cognitive infrastructure using Mixture of Spaces and Adaptive Chain of Actions for complex multimodal data.,12.0,,,,,,,medium,2026-03-21
corvus-robotics,Corvus Robotics,Private,2017,"Mountain View, California, USA",https://www.corvus-robotics.com,Warehouse Automation / Autonomous Drones,Corvus Robotics builds fully autonomous drone systems for warehouse inventory management,28.0,,50,,,,,high,2026-03-20
cosine-ai,Cosine,Private (Seed),2022,"London, United Kingdom",https://cosine.sh,AI-Powered Developer Tools,"Human reasoning lab building Genie, an autonomous AI software engineer that can branch, implement, test, and submit pull requests from task assignments",2.5,,32 (January 2026),,,,,medium,2026-03-20
coval,Coval,Active,2024,"San Francisco, CA, United States",https://www.coval.dev/,AI Infrastructure / Agent Evaluation / Testing & Quality,Coval applies autonomous vehicle testing methodologies to evaluate and monitor AI voice and chat agents at scale,3.3,,,,,,,High — well-documented seed round and YC backing.,2026-03-24
covariant,Covariant,semi-active (post-acquihire),2017,"Emeryville, CA",https://covariant.ai,AI robotics; warehouse automation; foundation models for robotics,AI robotics company building foundation models for warehouse automation; effectively acquihired by Amazon in 2024 in a controversial reverse-acquihire deal.,222.0,625.0,,"No public revenue figures. Pre-deal, Covariant had deployed hundreds of AI-powered robotic solutions across multiple industries.",B2B robotics AI -- licenses the Covariant Brain software to warehouse and fulfillment center operators to automate pick-and-place operations. Deployed with integration partners like KNAPP.,"50+ customers and partners (as of 2024); KNAPP (5+ year partnership); Industries: apparel, health & beauty, grocery, pharmaceuticals",,high,2026-03-24
covecta,Covecta,active,2023,"London, UK",https://covecta.io,AI Finance / Agentic Finserv,"Agentic AI for financial services automating due diligence, loan processing, and transaction analysis. Salesforce Ventures led seed.",6.5,,,,,,,medium,2026-03-21
coveo,Coveo,public,2005,"Montreal, Canada",https://www.coveo.com,enterprise-search; ai-relevance; generative-ai,Canadian AI-powered enterprise search and relevance platform using generative AI to optimize digital experiences.,340.0,,,,,,,high,2026-03-23
cradle,Cradle,active,2021,"Amsterdam, Netherlands",https://www.cradle.bio,AI for biology; protein engineering; generative AI; biotech SaaS,AI-powered protein engineering platform using generative protein language models to help scientists design better proteins in a fraction of the time.,103.0,,,"No public revenue figures. Private pre-Series-C stage company. Strong enterprise traction signals: 21 customers, 50+ active R&D programs, doubling headcount, and signing 6 of top 25 pharma companies suggest meaningful ARR growth.","Pure SaaS — enterprise software subscription. Cradle explicitly avoids royalties, revenue sharing, or IP entanglements that are common in biotech partnerships. Customers retain full IP on proteins designed using the platform. This clean model is a key selling point for large pharma and industrial biotech companies. The platform is also offered through a partnership with Ginkgo Bioworks, which allows users without their own lab facilities to access Cradle's AI plus Ginkgo's lab infrastructure.",6 of the top 25 global pharma companies (as of 2025); 4 of the top 10 global pharma companies; Johnson & Johnson Innovative Medicine; Novo Nordisk; AbbVie; Novonesis (formerly Novozymes); Grifols; Twist Bioscience; Ginkgo Bioworks (partnership); 21+ total customers; 31 molecules in development on the platform; 50+ R&D programs,,medium-high,2026-03-20
credal-ai,Credal.ai,Private,2022,"New York, NY",https://www.credal.ai,AI Security / Enterprise AI,Secure AI agent platform that connects enterprise data to LLMs with built-in governance and compliance,5.3,,,,,,,high,2026-03-23
credo-ai,Credo AI,Private,2020,"San Francisco, California",https://www.credo.ai,AI Governance / Responsible AI Platform,"Credo AI is an AI governance SaaS platform that helps enterprises minimize AI-related risk by ensuring their AI systems are fair, compliant, secure, auditable, and human-centered",41.0,101.0,100+,,,,,high,2026-03-20
cresta,Cresta,Private,2018,"San Francisco, CA",https://cresta.com,Contact Center AI / Customer Experience AI,"Cresta is a contact center AI platform that provides real-time intelligence to customer service and sales agents, managers, and executives",270.0,1600.0,300 (uncertain),,,,,high,2026-03-20
crewai,CrewAI,active,2024,"San Francisco, CA",https://crewai.com,AI Agents / Framework,Open-source agentic AI framework for building multi-agent systems.,18.0,,,,,,,medium,2026-03-21
crusoe,Crusoe,Private,2018,"Denver, Colorado",https://www.crusoe.ai,AI / GPU Cloud Infrastructure / Data Centers,"Crusoe is an AI infrastructure company that designs, builds, and operates data centers purpose-built for AI workloads",4140.0,10000.0,500+ (estimate; exact figure uncertain),,,,,high,2026-03-24
cuspai,CuspAI,"Active, Private",2024,"Cambridge, UK",https://www.cusp.ai,AI / Materials Science / Climate Tech,"> AI ""search engine for new materials"" -- backed by Nvidia, advised by Hinton and LeCun, with $130M raised to transform materials discovery for climate and industry",130.0,520.0,,,,,,high,2026-03-24
cvector,CVector,active,2024,"New York, NY",https://www.cvector.com,AI Industrial / Operations,AI brain and nervous system for large-scale industrial operations — optimizes production for utilities and manufacturing.,5.0,,,,,,,medium,2026-03-21
cycraft,CyCraft,active,2017,"Taipei, Taiwan",https://cycraft.com,AI Cybersecurity / Autonomous Detection,AI-native cybersecurity — autonomous threat detection and response for enterprises and governments. IPO on TWSE.,,,,,,,,medium,2026-03-21
cyera,Cyera,active,2021,"Tel Aviv, Israel",https://www.cyera.com,data-security; ai-security; cybersecurity,"AI-powered data security platform protecting enterprise data across cloud, SaaS, and on-premises environments.",1700.0,,,,,,,high,2026-03-23
cykel,Cykel AI,"Active (publicly traded on London Stock Exchange, ticker CYK)",2018,"London, United Kingdom",https://www.cykel.ai/,AI / Digital Workers / Recruitment / Sales / Research,"Cykel AI is a publicly traded London company building AI ""digital workers"" named Lucy, Eve, and Samson for recruitment, sales, and enterprise research",2.1,,,,,,,Medium — public company but micro-cap with limited analyst coverage; stock has been volatile.,2026-03-24
cylake,Cylake,active,2025,"Sunnyvale, CA",https://cylake.com,AI Cybersecurity / Sovereign Security,AI-native cybersecurity with full data sovereignty for regulated enterprises. Founded by Nir Zuk (Palo Alto Networks founder).,45.0,,,,,,,medium,2026-03-21
d-matrix,d-Matrix,active,2019,"Santa Clara, California, USA",https://www.d-matrix.ai,AI Hardware / Semiconductors (In-Memory Compute),In-memory AI inference accelerator chips — Corsair series targeting 10x faster inference than GPUs. $2B valuation.,450.0,,200 (estimate),,,,,high,2026-03-20
dart,Dart,Active,2022,"Redwood City, CA, United States",https://www.dartai.com/,AI / Productivity / Project Management,"Dart is an AI-native project management tool that uses conversational AI to automate task creation, roadmap planning, and reporting",0.5,,,,,,,Medium — limited public funding detail beyond YC participation; revenue figures from third-party estimates.,2026-03-24
databricks,Databricks,active,2013,"San Francisco, California, USA",https://www.databricks.com,Data & AI Infrastructure,"Unified data lakehouse and AI platform enabling enterprises to build, deploy, and manage data analytics and AI solutions at scale",20200.0,134000.0,14000,5400000000,,,,high,2026-03-24
datacurve,Datacurve,active,2024,"San Francisco, CA",https://datacurve.ai,AI Infrastructure / Training Data,"Datacurve provides premium, curated coding data for training and evaluating large language models",18.0,150.0,,,,,,high,2026-03-20
dataminr,Dataminr,"Active, pre-IPO",2009,"New York, NY",https://www.dataminr.com,AI / Real-Time Threat & Event Detection,"Dataminr is a New York-based AI company that provides real-time detection of emerging events, threats, and critical information by analyzing publicly available data at massive scale",1240.0,4100.0,800,,,,,high,2026-03-20
datapeople,Datapeople,Acquired by Payscale (September 2025),2015,"New York, NY, United States",https://datapeople.io/,AI / HR Tech / Recruiting Analytics / Job Description Optimization,"Datapeople uses AI-powered recruiting analytics to help hiring teams write clearer, more effective, and more compliant job postings",21.0,,,,,,,High — acquisition and funding rounds are well-documented.,2026-03-24
datawizz,Datawizz,active,2024,Israel,https://datawizz.ai,AI Infrastructure / Specialized Models,"Replaces generic LLMs with enterprise-owned Specialized Language Models. 85% cost reduction, 5-15x speed.",12.5,,,,,,,medium,2026-03-21
david-ai,David AI,active,2024,"San Francisco, CA",https://www.withdavid.ai,AI Infrastructure / Audio Data,"David AI is the world's first dedicated audio data research lab, building the data layer for next-generation audio and speech AI",80.0,500.0,,,,,,high,2026-03-20
day-ai,Day AI,Private,2023,"Sacramento, CA",https://day.ai,AI / CRM / Sales Automation,"AI-native CRM auto-capturing relationship data from emails, calendars, meetings. No manual entry.",24.0,,Undisclosed (small team),,,,,medium,2026-03-20
decagon,"Decagon AI, Inc.",Private,Augu,"San Francisco, CA",https://decagon.ai,Enterprise AI / Conversational AI / AI Customer Support Agents,Decagon is an enterprise AI company building autonomous AI agents for customer support and experience,481.0,4500.0,50-100 (estimate as of early 2026; exact figure not publicly confirmed),,,,,"high (well-funded, widely covered; some revenue/headcount figures are estimates)",2026-03-24
decart,Decart,Private,2023,"Tel Aviv, Israel (with San Francisco presence)",https://decart.ai,AI / Real-Time World Models / Generative Video,"Real-time world model and generative video platform enabling interactive AI-generated experiences, built on GPU-optimized livestream diffusion models",153.0,3100.0,,,,,,high,2026-03-24
deep-robotics,DEEP Robotics,active,2017,"Hangzhou, China",https://www.deeprobotics.cn/en,Robotics / Quadruped-Humanoid,Quadruped and humanoid robots from Zhejiang University. Lynx M20 and DR02 humanoid.,70.0,,,,,,,medium,2026-03-21
deepbrain-ai,DeepBrain AI,active,2016,"Seoul, South Korea",https://www.deepbrain.io,ai-avatars; video-generation; conversational-ai,Korean AI company creating photorealistic AI avatars and video generation tools for enterprise customer service.,56.0,,,,,,,medium,2026-03-23
deepgram,Deepgram,active,2015,"San Francisco, CA",https://deepgram.com,AI Voice / Speech-to-Text,AI speech-to-text and text-to-speech API. Powers voice AI for enterprises with industry-leading accuracy and speed.,229.0,,,,,,,high,2026-03-23
deepjudge,DeepJudge,Private,2021,"Zurich, Switzerland",https://www.deepjudge.ai,AI / Legal Tech / Enterprise Search,"AI-powered knowledge platform for law firms that connects document management systems, email, intranet, and client portals to retrieval-augmented AI agents for instant legal knowledge access",52.0,,,,,,,high,2026-03-23
deepl,DeepL,"Private (exploring US IPO at ~$5B valuation, potentially 2026)",2017,"Cologne, Germany",https://www.deepl.com,Artificial Intelligence,"DeepL is a German AI company specializing in machine translation and language AI tools, headquartered in Cologne, Germany",415.0,,,,Freemium SaaS (tiered subscriptions + API usage fees),,,high,2026-03-20
deepnote,Deepnote,active,2019,"San Francisco, CA, USA",https://deepnote.com,AI / Data Science / Notebooks,"Collaborative AI-powered data science notebook platform for teams, combining code, SQL, visualization, and AI assistance in a single workspace.",24.0,,,,,,,high,2026-03-23
deepseek,DeepSeek,active,2023,"Hangzhou, Zhejiang, China",https://www.deepseek.com,Foundation Models / Large Language Models,DeepSeek is a Chinese AI research lab that builds open-weight large language models,1100.0,3400.0,150-200,,,,,high,2026-03-20
deeptune,Deeptune,active,2024,"New York, NY",https://deeptune.com,AI Training / RL Environments,High-fidelity RL training gyms simulating real enterprise workflows so AI agents can learn multi-step tasks.,43.0,,,,,,,medium,2026-03-21
defog,Defog.ai,Private,2021,Singapore,https://defog.ai,AI / Data Analytics / Text-to-SQL,"Open-source LLM platform that converts natural language questions into SQL queries for enterprise data analysis, with on-premise deployment and fine-tuning capabilities",2.7,,,,,,,medium,2026-03-24
delve-ai,Delve,active,2025,"San Francisco, CA",https://delve.co,AI Compliance / Regulation,AI agents automating regulatory compliance workflows. Founded by 21-year-old MIT dropouts.,32.0,300.0,,,,,,medium,2026-03-21
descript,Descript,Private,2017,"San Francisco, CA",https://www.descript.com,AI Video & Audio Editing,Descript is an AI-powered collaborative video and audio editing platform whose core innovation is **text-based editing**: users edit media by editing a transcript,100.0,550.0,188 (as of February 2026),,,,,high,2026-03-20
dev-agents,/dev/agents,active,2024,"San Francisco, CA",https://sdsa.ai,AI Agents / Infrastructure,"Operating system for AI agents. Founded by David Singleton (ex-CTO Stripe, ex-VP Android at Google).",56.0,,,,,,,medium,2026-03-21
devrev,DevRev,Private,2020,"Palo Alto, California",https://devrev.ai,Enterprise AI / AI-Native CRM & Developer Platform,DevRev is an AI-native platform that unifies customer support and product development workflows,158.0,1150.0,500+,,,,,high,2026-03-20
diesel-labs,Diesel Labs,Active,2016,"Cambridge, MA, United States",https://diesellabs.com/,AI / Marketing Analytics / Content Intelligence / Consumer Insights,Diesel Labs blends generative AI with big-data analysis of 2.2B+ daily social signals to create synthetic focus groups and consumer intelligence for marketing teams,1.2,,,,,,,Medium — limited recent funding information; total raised is modest.,2026-03-24
diligencesquared,DiligenceSquared,active,2025,"New York, NY",https://www.diligencesquared.com,AI for M&A Due Diligence,AI voice agents automating commercial due diligence and M&A research for PE firms. YC-backed.,5.0,,,,,,,medium,2026-03-21
distyl-ai,Distyl AI,active,2022,"San Francisco, CA",https://distyl.ai,AI Enterprise Consulting,Helps global enterprises become AI-native through custom deployment.,175.0,,,,,,,medium,2026-03-21
ditto-ai-dating,Ditto AI (Dating),active,2024,"Oakland, CA",https://ditto.ai,AI Consumer / Dating,AI iMessage matchmaker for college students. Replaces swiping with real dates.,9.2,,,,,,,medium,2026-03-21
docugami,Docugami,Private,2018,"Kirkland, WA",https://www.docugami.com,AI / Document Engineering / Enterprise Software,"AI document engineering platform that transforms unstructured business documents into structured, analyzable data using NLP, image recognition, and declarative markup",13.2,,,,,,,medium,2026-03-24
dream-security,Dream Security,active,2023,"Tel Aviv, Israel",https://dreamgroup.com,AI Cybersecurity / Critical Infrastructure,AI-driven critical infrastructure cybersecurity. .1B valuation.,100.0,,,,,,,medium,2026-03-21
dualentry,DualEntry,active,2024,"New York, NY",https://dualentry.com,AI Enterprise / ERP,First ERP platform built from scratch with AI for mid-market businesses.,90.0,,,,,,,medium,2026-03-21
dust,Dust,Private,2023,"Paris, France",https://dust.tt,AI / Enterprise Agent Platform / Productivity,"Enterprise AI operating system that enables companies to build and deploy custom data-augmented AI agents without coding, connecting to internal knowledge bases and tools",21.5,,,,,,,high,2026-03-24
dyna-robotics,Dyna Robotics,active,2024,"Redwood City, CA",https://www.dyna.co,AI Robotics / Foundation Models,Robotics foundation model company building general-purpose manipulation robots. DYNA-1 model ran autonomously 24+ hours with 99% success rate. Founders previously sold Caper AI to Instacart for $350M.,143.5,,,,,,,high,2026-03-23
e2b,E2B,Private,2023,"San Francisco, CA & Prague, Czech Republic",https://e2b.dev,AI / Developer Infrastructure / Cloud Sandboxes,"Open-source cloud platform providing secure sandboxed environments for AI agents to execute code, starting virtual machines in under 200ms at enterprise scale",35.0,,,,,,,high,2026-03-24
earth-ai,Earth AI,active,2019,"Sydney, Australia",https://earth-ai.com,AI Mining / Critical Minerals,"AI + proprietary drilling tech for critical mineral discovery — 75% success rate vs 0.5% industry average, 80% cost reduction.",20.0,,,,,,,medium,2026-03-21
edra,Edra,active,2024,"New York, NY",https://edra.ai,AI Enterprise / Ops Agents,AI agents for enterprise IT and customer support built on existing operational data. Ex-Palantir founders.,36.5,,,,,,,medium,2026-03-21
eightfold,Eightfold AI,Private,2016,"Santa Clara, CA",https://eightfold.ai,AI / Talent Intelligence / HR Tech,"AI-powered talent intelligence platform that uses deep learning to help enterprises recruit, retain, and develop talent across 110+ countries",410.0,2100.0,,,,,,high,2026-03-24
eikona,Eikona,active,2024,"Tel Aviv, Israel",https://www.eikona.io,AI Marketing / Generative Content,Custom generative AI models automating lifecycle marketing content personalized to individual user behavior.,5.0,,,,,,,medium,2026-03-21
elevenlabs,ElevenLabs,active,2022,"New York, NY (with offices in London and Warsaw)",https://elevenlabs.io,AI Voice & Audio,"ElevenLabs is an AI voice and audio company founded in April 2022 by two childhood friends from Warsaw, Poland",791.0,11000.0,736 (as of Feb 2026),,,,,high,2026-03-24
elicit,Elicit,Private,2021,"San Francisco, CA",https://elicit.com,AI / Research Assistant / Scientific Literature,"AI research assistant that automates scientific literature review and evidence-based reasoning, spun out from the Ought nonprofit focused on scalable AI alignment",33.0,,,,,,,high,2026-03-24
eliseai,EliseAI,Private,2017,"New York, NY",https://eliseai.com,Real Estate AI / Healthcare AI,EliseAI is a vertical AI company that automates communications and operational workflows for the housing and healthcare industries,391.9,2200.0,200,~$100M+ (2025),,,,high,2026-03-20
ema,Ema,active,2023,"San Francisco, CA",https://ema.co,AI Enterprise / Universal AI Employee,"Universal AI Employee platform — always-available agents for customer service, HR, IT, back-office. Founded by ex-Coinbase CPO.",110.0,,,,,,,medium,2026-03-23
emanate,Emanate,active,2025,"San Francisco, CA",https://emanate.ai,AI Industrial / Revenue Optimization,"First AI revenue engine for industrial materials companies. Backed by a16z American Dynamism, Peter Thiel, Alexis Ohanian.",10.0,,,,,,,medium,2026-03-21
emerald-ai,Emerald AI,active,2024,"Washington, DC",https://www.emeraldai.co,AI for Energy Grid,AI software helping the electric power grid adapt to AI surging energy demand.,24.5,,,,,,,medium,2026-03-21
emergent,Emergent,active,2024,"San Francisco, CA (R&D center in Bengaluru, India)",https://emergent.sh,AI Applications / Vibe Coding,"AI app builder that turns plain-language ideas into production-ready, monetizable web and mobile applications without coding",100.0,300.0,,,,,,high,2026-03-20
