slug,name,status,founded_year,hq,website,sectors,one_liner,total_raised_m,latest_valuation_m,latest_round,latest_round_date,business_model,revenue_signals,key_customers,employee_count,team_china_profile,confidence,last_updated
liquid-ai,Liquid AI,active,2023,"Cambridge, Massachusetts, USA",https://www.liquid.ai,Artificial Intelligence; Foundation Models,,297.0,2000.0,,,,,,,,high on funding/founders; moderate on revenue/headcount (third-party estimates),2026-03-20
lovable,Lovable,active,2023,"Stockholm, Sweden",https://lovable.dev,AI; Developer Tools; Vibe Coding,,567.0,6600.0,,,,$400M (as of February/March 2026),,146,,medium,2026-03-20
luma-ai,Luma AI,active,2021,"Palo Alto, CA",lumalabs.ai,AI Video & 3D Generation; Creative AI Agents,,,,,,,,,200,,medium,2026-03-20
magic,Magic,active,2022,"San Francisco, CA",https://magic.dev,AI; Developer Tools; Code Generation,,,,,,,,,97,,medium,2026-03-20
magicschool-ai,MagicSchool AI,active,2023,"Denver, Colorado",https://www.magicschool.ai,AI Education; EdTech,,67.0,,,,,,,100,,medium,2026-03-20
manus-ai,Manus AI,active,2022,Singapore (relocated from Beijing in May 2025),https://manus.im,AI Agents; General-Purpose AI Assistant,,75.0,500.0,,,,,,50,,medium,2026-03-20
matx,MatX,active,2022,"San Francisco Bay Area, California, USA",https://matx.com,AI Hardware; Semiconductors (LLM Training),,600.0,,,,,,,50,,medium,2026-03-20
mercor,Mercor,active,2023,"San Francisco, CA",,AI Infrastructure; Human-in-the-Loop AI Training,,492.0,10000.0,,,,,OpenAI; Anthropic; Meta; Google DeepMind (reported),,,medium,2026-03-20
midjourney,Midjourney,active,2021,"San Francisco, California",https://www.midjourney.com,AI Image & Video Generation,,0.0,5.0,,,,,,107,,medium,2026-03-20
mind-robotics,Mind Robotics,active,2025,"Palo Alto, CA",https://www.mindrobotics.com,industrial robotics; AI; manufacturing automation,"Building AI-powered industrial robots that bring human-like dexterity and physical reasoning to factory work, spun out of Rivian.",615.0,2000.0,,,"Mind Robotics is building an integrated AI robotics platform -- models, custom hardware (including robotic hands/end-effectors), and deployment infrastructure -- for industrial manufacturing environments. The key strategic differentiator is 'captured distribution': Rivian serves as both a major shareholder and an anchor customer, providing immediate access to high-volume production lines and a massive proprietary data flywheel for training AI models. This bypasses the classic robotics startup 'chicken and egg' problem of needing deployment data to improve models but needing good models to secure deployments. The company designs robots around specific industrial tasks (parts handling, wiring assembly, component assembly) rather than pursuing humanoid form factors. The initial go-to-market is deploying robots at scale within Rivian's own factories, with the likely path to external customers once the platform is proven. Revenue model details have not been publicly disclosed.",,,,,medium,2026-03-20
minimax,MiniMax (MiniMax Group Inc.),public,2021,"Shanghai, China",,"Artificial Intelligence — Foundation Models, Generative AI (Video, Text, Speech)",,1150.0,13700.0,,,,,,,,medium,2026-03-20
mistral-ai,Mistral AI,active,2023,,mistral.ai,Artificial Intelligence,,,,,,Open-core SaaS (API + enterprise subscriptions + consumer product),,,,,medium,2026-03-20
modal,"Modal (Modal Labs, Inc.)",active,2021,"New York, NY",https://modal.com,AI Infrastructure; Cloud Computing,,111.0,1100.0,,,,,,118,,high on funding/founders; moderate on revenue/valuation talks,2026-03-20
modelbest,ModelBest,active,2022,"Haidian District, Beijing, China",https://modelbest.cn,On-Device AI; Small Language Models,,,,,,,,,100,,medium,2026-03-20
monarch-tractor,Monarch Tractor,active,2017,"Livermore, California, USA",https://www.monarchtractor.com,Agricultural Robotics; Autonomous Vehicles,,,,,,,,,,,medium,2026-03-20
monte-carlo-data,Monte Carlo,active,2019,"San Francisco, California, USA",https://www.montecarlodata.com,Data Observability & AI Data Quality,,,,,,,,,,,medium,2026-03-20
moonshot-ai,Moonshot Ai,active,,,,,,,,,,,,,,,low,2026-03-20
moonvalley,Moonvalley,active,2023,"Toronto, Canada",https://www.moonvalley.com,AI Video Generation,,,,,,,,,123,,medium,2026-03-20
moveworks,Moveworks,acquired,2016,"Mountain View, California",moveworks.com,Enterprise AI; Agentic AI Copilot & Employee Support,,315.0,2100.0,,,,"$100M+ (late 2024, per company disclosure)",,500,,medium,2026-03-20
nebius,Nebius Group,public,2022,"Amsterdam, Netherlands",https://nebius.com,AI; GPU Cloud Infrastructure,,,,,,,,,2000,,high,2026-03-20
neura-robotics,NEURA Robotics,active,2019,"Metzingen, Germany",https://neura-robotics.com,Cognitive Robotics; Humanoid Robotics,,,,,,,,,,,medium,2026-03-20
nevis,Nevis,active,2024,"New York, NY",https://www.neviswealth.com,AI for Wealth Management,,40.0,200.0,,,,Undisclosed,,20,,medium,2026-03-20
nexthop-ai,Nexthop AI,active,2024,"Santa Clara, California",https://nexthop.ai,AI; Networking Infrastructure; Data Center Hardware,,,,,,,,,,,high,2026-03-20
norm-ai,Norm AI,active,2023,"New York, NY",https://www.norm.ai,Regulatory Compliance AI; RegTech,,140.0,,,,,,,100,,medium,2026-03-20
nous-research,Nous Research,active,2022,,nousresearch.com,Artificial Intelligence,,,,,,"Open-source AI research lab with decentralized training infrastructure (Psyche Network on Solana); revenue model unclear -- likely a mix of token economics, enterprise services, and API access",,,,,medium,2026-03-20
nscale,Nscale,public,2024,"London, United Kingdom",https://www.nscale.com,AI; GPU Cloud Infrastructure; Data Centers,,,,,,,,,,,high,2026-03-20
numeric,Numeric,active,2020,"San Francisco, CA",https://www.numeric.io,AI for Accounting; Financial Close,,89.0,,,,,Undisclosed,,50,,medium,2026-03-20
nuro,Nuro,active,2016,"Mountain View, California",https://www.nuro.ai,Autonomous Vehicles; AI; Robotics,,2300.0,6000.0,,,,,,975,,medium,2026-03-20
observe-ai,Observe.AI,active,2017,"San Francisco / Redwood City, CA",https://www.observe.ai,AI for Contact Centers; Conversational Intelligence,,214.0,304.0,$125M Series C (April 2022),,,,,404,,medium,2026-03-20
openai,OpenAI,active,2015,"San Francisco, CA",https://openai.com,foundation models; generative AI; LLMs,Creator of GPT and ChatGPT; the company that ignited the generative AI era.,168000.0,840000.0,,,"Multi-stream: (1) Consumer subscriptions -- ChatGPT Free/Plus ($20/mo)/Pro ($200/mo); (2) Enterprise -- ChatGPT Team (~$25-30/user/mo), ChatGPT Enterprise (custom pricing ~$60/seat); (3) API platform -- usage-based pricing for developers building on GPT models; (4) Strategic licensing deals (Apple Intelligence integration, Disney/Sora). Exploring advertising as additional revenue stream.","ARR tripled from ~$6B (end 2024) to ~$20B (end 2025). Hit first $1B revenue month in July 2025. Sacra estimates ~$25B annualized run rate as of Feb 2026. 910M weekly active users. 9M+ paying business users. Projects $280B revenue by 2030. Despite revenue growth, company projects ~$14B in losses for 2026 due to massive compute spend.","Apple (ChatGPT integration in Apple Intelligence); Microsoft (Azure OpenAI Service, Copilot products); Amazon/AWS (exclusive third-party cloud distribution for enterprise); Disney ($1B investment + Sora licensing deal); Samsung & SK (Stargate initiative partnership); U.S. Department of Defense / Pentagon ($200M contract); U.S. Government (classified + unclassified AI services via AWS); Mattel (AI-powered product development); Consulting firms: Accenture, BCG, Capgemini, McKinsey (Frontier Alliances program); 1M+ organizations using OpenAI technology (as of Dec 2025)",,No Chinese-origin founders. OpenAI has historically had Chinese-origin researchers on staff but the company has restricted API access in China since mid-2024. No prominent mainland Chinese executives in current leadership.,high,2026-03-20
otter-ai,Otter.ai,active,2016,"Mountain View, California",https://otter.ai,AI Productivity; Meeting Transcription,,70.0,,,,,$100M (March 2025),,200,,medium,2026-03-20
patronus-ai,Patronus AI,active,2023,"San Francisco, CA (registered address in Dublin, CA)","AI Evaluation, Safety Testing & LLM Reliability",,,40.0,,Series A (May 2024),,,,,,,medium-high,2026-03-20
perplexity,Perplexity AI,active,2022,"115 Sansome Street, Suite 900, San Francisco, CA",https://www.perplexity.ai,AI-Powered Search; Information Retrieval,,,,,,,,,1500,,medium,2026-03-20
photoroom,Photoroom,active,2019,"Paris, France",https://www.photoroom.com,AI Photo Editing; Consumer AI,,75.0,500.0,,,,~$94M (end of 2024),,80,,medium,2026-03-20
physical-intelligence,Physical Intelligence,active,2024,"San Francisco, CA",https://www.physicalintelligence.company,foundation models; robotics; physical AI,Building general-purpose foundation models that give any robot the ability to perform any task in the physical world.,1070.0,5600.0,,,"Software-centric 'intelligence layer' for robotics. Physical Intelligence develops foundation models (vision-language-action models) that serve as plug-and-play brains for third-party robot hardware. The emerging model is an API/SaaS approach -- providing robotic intelligence as a service rather than building vertically integrated robots. One source mentions a $300/month/robot subscription pricing, though this is unconfirmed and may be speculative. Early commercial traction is through partnerships with hardware companies (Weave Robotics for home/laundry, Ultra for warehouse automation). The company has also open-sourced parts of its stack (openpi on GitHub) to build ecosystem adoption.","Pre-revenue or very early revenue as of late 2025. The $5.6B valuation is based on technology potential rather than current revenue. Competitor Skild AI reportedly generated $30M in revenue from its deployed 'Skild Brain' product, suggesting the market is beginning to monetize but Physical Intelligence has prioritized research over commercialization so far. The Weave and Ultra partnerships (announced February 2026) represent the first public evidence of live commercial deployments using Pi's models.",,,,medium-high,2026-03-20
pika,Pika,active,2023,"Palo Alto, CA (office at 2700 W El Camino Real, Mountain View, CA 94040)",https://pika.art,AI Video Generation; Generative AI,,135.0,470.0,,,,,,48,,medium,2026-03-20
pinecone,Pinecone,active,2019,"New York, NY",https://www.pinecone.io,vector databases; AI infrastructure; search,"Serverless vector database purpose-built for AI applications, founded by ex-Amazon/Yahoo research leader Edo Liberty.",138.0,750.0,,,"Consumption-based SaaS. Tiered pricing: Starter (free), Standard ($50/month minimum), Enterprise ($500/month minimum), and Dedicated/BYOC. Charges based on read units (queries/fetches), write units (data modifications), and storage (per GB). Also offers Pinecone Inference (hosted embedding and reranking models) and Pinecone Assistant (agent/chat API) as additional revenue streams. Available on AWS Marketplace, Azure Marketplace, and GCP. BYOC (Bring Your Own Cloud) in public preview for enterprise customers.","$26.6M annual revenue in 2024 (66.6% YoY growth from $16M in 2023). Revenue trajectory: $2.2M (2021) -> $4.9M (2022) -> $16M (2023) -> $26.6M (2024). Latka reports $14M for 2025, though this figure is ambiguous -- it may represent partial-year or monthly data; if annual, it would represent a significant decline. ~4,000 paying customers. 129 employees as of Feb 2026.","Shopify; HubSpot; Gong; Zapier; Workday; BambooHR; Vanguard; 20,000+ organizations worldwide (as of late 2024); 30,000+ organizations on serverless (as of late 2024); Notion (lost as customer; departure reported in 2025)",129,No known Chinese-origin founders. The founding team is Israeli-American. No significant public China connections.,medium,2026-03-20
poolside,Poolside,public,2023,"Paris, France (legal HQ in US; ~80% of team in Europe)",https://poolside.ai,,,,12000.0,,,,,,,,high on funding figures; moderate on revenue projections and employee count,2026-03-20
positron-ai,Positron AI,active,2023,"Austin, Texas, USA",https://www.positron.ai,AI Hardware; Semiconductors (Inference),,305.0,1000.0,,,,,,50,,medium,2026-03-20
qodo,Qodo,active,2022,"Tel Aviv, Israel",https://www.qodo.ai,AI-Powered Developer Tools,,50.0,,,,,,,100,,high,2026-03-20
rain-ai,Rain AI,active,2017,"San Francisco, California, USA",https://rain.ai,AI Hardware; Semiconductors (Neuromorphic; In-Memory Compute),,146.0,,,,,,,50,,medium,2026-03-20
rebellion-defense,Rebellion Defense,active,2019,"Washington, D.C., USA",https://rebelliondefense.com,Defense AI; National Security,,224.0,1000.0,Series B,,,,,40,,medium,2026-03-20
recursion,"Recursion Pharmaceuticals, Inc.",public,2013,"Salt Lake City, Utah",https://www.recursion.com,AI-Driven Drug Discovery; TechBio,,,,,,,,,515,,high (publicly traded; extensive disclosures available),2026-03-20
reflection-ai,Reflection AI,active,2024,"San Francisco, CA (unconfirmed — likely Bay Area)",https://reflection.ai,AI; Developer Tools; Autonomous Coding Agents,,2130.0,8000.0,,,,,,,,medium,2026-03-20
regie-ai,Regie.ai,active,2020,"San Francisco, CA",regie.ai,AI; Sales Engagement; Content Automation,,,,,,,,,75,,medium,2026-03-20
reka-ai,Reka AI,active,2022,"Sunnyvale, CA",https://reka.ai,multimodal AI; foundation models; enterprise AI,"Lean multimodal AI model builder founded by ex-DeepMind/Google/Meta researchers, building GPT-4-class models with a fraction of Big Tech's headcount.",168.0,1000.0,,,"Enterprise-focused multimodal AI platform. Revenue streams include API access to Reka models (Core, Flash, Edge) and enterprise platform products (Reka Vision, Reka Research, Reka Nexus). Offers deployable AI solutions across cloud, on-premises, and edge environments. Targets healthcare, finance, creative industries, and government sectors. Also partners with Carahsoft for US government distribution.","$10.9M revenue reported as of September 2025 (per Latka). Modest but growing, reflecting early-stage enterprise go-to-market with a ~60 person team.","Shutterstock (partnership); Turing Video (partnership); US government agencies (via Carahsoft); Enterprise customers across healthcare, finance, and creative industries",,,medium,2026-03-20
replicate,Replicate,acquired,2019,"San Francisco, CA",https://replicate.com,AI Infrastructure; MLOps; Developer Tools,,58.0,,,,,$5.3M reported for 2024; 'tens of millions' by late 2025 per YC profile,,36,,medium,2026-03-20
replit,Replit,active,2016,"Foster City, CA (remote-friendly)",https://replit.com,Developer Tools; AI-Assisted Software Development,"AI-powered cloud coding platform — build, run, and deploy software from a browser",,,,,,,,280,,medium,2026-03-20
rhoda-ai,Rhoda AI,active,2024,"Menlo Park, CA (unconfirmed; inferred from Stanford ties and investor base)",https://www.rhoda.ai,AI; Robotics; Physical AI,,450.0,1700.0,,,,,,,,medium,2026-03-20
robust-intelligence,Robust Intelligence,acquired,2019,"San Francisco, CA (originally Cambridge, MA)",,AI Security & Validation,,44.0,,"Series B ($30M, December 2021)",,,,,,,medium,2026-03-20
runway,Runway,active,2018,"New York, NY",runwayml.com,AI Video Generation; World Models,,,,,,,,,400,,medium,2026-03-20
sakana-ai,Sakana AI,active,2023,"Tokyo, Japan",,Artificial Intelligence; Foundation Models,,,,,,,,,138,,high,2026-03-20
sambanova,SambaNova Systems,active,2017,"Palo Alto, California, USA",https://sambanova.ai,AI Hardware; AI Infrastructure (Full-Stack),,1480.0,2240.0,,,,,,400,,medium,2026-03-20
sanctuary-ai,Sanctuary AI,public,2018,"Vancouver, British Columbia, Canada",https://www.sanctuary.ai,AI; Robotics,,,,,,,,,138,,Moderate — leadership transition and fundraise status post-mid-2025 are uncertain,2026-03-20
saronic-technologies,Saronic Technologies,active,2022,"Austin, Texas",https://www.saronic.com,defense-govtech; robotics; autonomous-vehicles,Builder of autonomous surface vessels (ASVs) for naval and maritime defense missions.,830.0,4000.0,,,"Vertically integrated defense shipbuilder. Saronic designs, builds, and sells autonomous surface vessels to the US Navy and allied maritime forces. The company operates its own shipyard in Austin, TX, enabling rapid iteration and production. Revenue comes from vessel sales and government contracts. The company aims to compress naval shipbuilding timelines from years to months.",Named to CNBC Disruptor 50 in 2025. $830M total funding suggests significant contracted pipeline. The company is building a fleet of autonomous vessels across three platform sizes. [Confidence: low -- no public revenue figures.],U.S. Navy; U.S. Department of Defense; Allied naval forces,,No China connection identified. Founders are American with defense technology backgrounds. The company builds autonomous naval vessels for the US Navy and allied navies.,medium,2026-03-20
scale-ai,Scale AI,active,2016,"San Francisco, CA",https://scale.com,AI Infrastructure; Data Services,,15900.0,29000.0,,,,,,1000,,medium,2026-03-20
semgrep,Semgrep,active,2017,"San Francisco, CA",https://semgrep.dev,AI-Powered Developer Tools,,204.0,500.0,,,,,,210,,high,2026-03-20
shield-ai,Shield AI,active,2015,"San Diego, California",https://shield.ai,defense-govtech; autonomous-vehicles; AI-software,Building the world's best AI pilot -- autonomous flight software (Hivemind) for drones and fighter jets operating in GPS/comms-denied environments.,1400.0,5600.0,,,"Dual revenue stream: (1) Hardware -- sells V-BAT autonomous VTOL drones (Group 3 UAS) and will eventually sell X-BAT autonomous fighter jets. (2) Software licensing -- Hivemind autonomy platform licensed to allies and integrated onto third-party platforms (e.g., Anduril's Fury CCA). Revenue was ~$300M for fiscal year ending March 2025. CEO targets 70-100% annual growth to reach $1B by FY2028. Also acquires complementary hardware companies (Martin UAV in 2021 for V-BAT, Heron Systems in 2021 for AI dogfighting).","~$300M revenue for FY ending March 2025. Targeting 70-100% YoY growth to $1B by FY2028. CCA program is structured as a multi-decade, multi-billion-dollar production opportunity. [Confidence: medium -- revenue figures from CEO statements and third-party estimates, not audited financials.]","U.S. Air Force (CCA / Collaborative Combat Aircraft program -- Hivemind selected as mission autonomy provider, Feb 2026); U.S. Coast Guard ($198M contract for V-BAT maritime UAS services, July 2024); U.S. Marine Corps; U.S. SOCOM / Special Operations Forces (Nova indoor reconnaissance drone); Indian Army (V-BAT drones + Hivemind, announced Jan 2026); Singapore (Hivemind software license); South Korea (Hivemind software license); Romania, Indonesia, Japan (V-BAT surveillance drones); Ukraine (V-BATs operationally deployed, withstanding EW attacks)",1300,No China connection. The founding team is American. Brandon Tseng is a former Navy SEAL with high-level security clearances. The company works exclusively on U.S. and allied defense applications. Key investors include strategic defense partners L3Harris and Hanwha (South Korea).,high,2026-03-20
sierra-ai,"Sierra Technologies, Inc.",active,2023,"San Francisco, CA",https://sierra.ai,Enterprise AI; Conversational AI; AI Agents,,635.0,10000.0,,,,,,370,,high (well-covered company with public disclosures),2026-03-20
sigma-computing,Sigma Computing,active,2014,"San Francisco, California, USA",https://www.sigmacomputing.com,AI-Native Business Intelligence & Analytics,,,,,,,,,,,medium,2026-03-20
simile,Simile,active,2025,"Stanford, CA (uncertain — strong Stanford ties; exact HQ not confirmed)",https://simile.ai,AI digital twins; human behavior simulation; market research,"Stanford spinout building high-fidelity AI digital twins that simulate human decision-making, replacing focus groups and enabling companies to rehearse real-world outcomes.",100.0,,,,"Enterprise SaaS. Simile builds AI agent populations ('digital twins') trained on deep interview transcripts, historical transaction data, and behavioral science literature. Customers access Simile's AI agent bank to simulate consumer behavior, test product decisions, rehearse earnings calls, model litigation outcomes, and forecast reactions to policy changes. Pricing ranges from ~$150K to several million dollars per year, depending on scope. The company positions itself as a replacement for traditional focus groups and market research panels.",Not disclosed. Enterprise contracts in the $150K–multi-million dollar range suggest early but meaningful revenue. Six named enterprise customers displayed on website at launch.,"CVS Health (product placement testing, inventory decisions, earnings call preparation — built on ~3M consented responses from 400K+ people); Telstra (Australia's largest mobile internet provider); Wealthfront; Suntory Beverages & Food; Banco Itau; Garnett Station Partners (private equity)",,Percy Liang appears to be of Chinese descent. No other founders have publicly documented Chinese origins. The team is rooted in Stanford's CS department with strong academic AI research backgrounds.,medium,2026-03-20
simular,Simular,active,2024,"San Francisco, CA",https://www.simular.ai,AI; Autonomous Agents; Computer Use,,27.0,,,,,,,,,medium,2026-03-20
skild-ai,Skild AI,active,2023,"Pittsburgh, PA",https://www.skild.ai,foundation models; robotics; physical AI,"Building the first general-purpose, omni-bodied foundation model (the 'Skild Brain') that can control any robot, perform any task, in any environment.",2215.0,14000.0,,,"Software-centric 'brain-as-a-service' for robotics. Skild builds the Skild Brain -- a general-purpose foundation model -- and deploys it as the intelligence layer on third-party robot hardware. Rather than building its own robots, Skild partners with hardware OEMs (ABB Robotics, Universal Robots, Foxconn) and integrates its AI into their existing robot platforms. Revenue comes from licensing and deploying the Skild Brain across industrial customers. The company grew from zero to approximately $30M in revenue in 2025, indicating early commercial traction that most robotics AI competitors have not yet achieved.","The company reportedly grew from zero to ~$30M in revenue in 2025, which is notable given that most competitors (including Physical Intelligence) remain pre-revenue or very early revenue. The Foxconn/NVIDIA factory deployment and March 2026 ABB/Universal Robots partnerships suggest an accelerating commercial pipeline. Revenue model details (per-robot licensing, subscription, or per-deployment fees) have not been publicly disclosed.",,,,medium-high,2026-03-20
skydio,Skydio,active,2014,"San Mateo, California",https://www.skydio.com,defense-govtech; robotics; autonomous-vehicles,"Largest US drone manufacturer building AI-powered autonomous drones for defense, public safety, and enterprise.",732.0,2200.0,,,"Vertically integrated drone manufacturer. Skydio designs, builds, and sells AI-powered autonomous drones with accompanying software platforms. Revenue comes from three segments: (1) Defense/government contracts (~50%+ of bookings), (2) Enterprise customers (energy, telecom, construction), and (3) Public safety (police, fire, DOTs). The core competitive advantage is Skydio Autonomy, an AI software stack that enables fully autonomous flight, obstacle avoidance, and mission execution without requiring skilled pilots.","~$180M revenue in 2024, up 80% YoY from ~$100M in 2023 (Sacra estimate). $1.2B in bookings pipeline with >50% from defense contracts. CNBC Disruptor 50 company. Blue UAS-approved for US government use. [Confidence: medium -- revenue estimates from Sacra, bookings figure from company.]","U.S. Department of Defense (all branches); U.S. State Departments of Transportation (over half of all states); 200+ public safety agencies across 47 states; 60+ energy utilities; Enterprise customers (construction, telecom, infrastructure); International allied military and government customers",,No China connection. All founders are American MIT graduates. Skydio is the largest US-made drone manufacturer and is positioned as the primary American alternative to Chinese drone maker DJI. The company has actively advocated for banning Chinese drones from US government use.,high,2026-03-20
snorkel-ai,Snorkel AI,active,2019,"Palo Alto, CA",,Data-Centric AI; AI Infrastructure,,238.0,1300.0,,,,,,,,medium,2026-03-20
snyk,Snyk,public,2015,"Boston, MA (US HQ); Tel Aviv, Israel (R&D HQ)",https://snyk.io,AI-Powered Developer Tools,,1320.0,8500.0,,,,,,1000,,high,2026-03-20
sourcegraph,Sourcegraph,active,2013,"San Francisco, CA",https://sourcegraph.com,AI-Powered Developer Tools,,225.0,2600.0,,,,,,150,,high,2026-03-20
speak,Speak,active,2016,"San Francisco, California",https://www.speak.com,AI Language Learning,,162.0,1000.0,,,,~$100M (2025 estimate),,40,,medium,2026-03-20
sphere,Sphere,active,2023,"San Francisco, CA",https://www.getsphere.com,AI for Tax Compliance,,24.0,,,,,Undisclosed,,20,,medium,2026-03-20
ssi,Safe Superintelligence Inc.,stealth,2024,"Palo Alto, California",https://ssi.inc,Artificial Intelligence; AGI Safety,,3000.0,32000.0,,,,,,18,,medium,2026-03-20
stability-ai,Stability AI,active,2019,"London, United Kingdom",https://stability.ai,"Generative AI; Image, Video, Audio, 3D Synthesis",,181.0,1000.0,,,,,,190,,medium,2026-03-20
stepfun,StepFun,public,2023,"Xuhui District, Shanghai, China",https://www.stepfun.com,Foundation Models; Multimodal AI,,,,,,,,,400,,medium,2026-03-20
sumble,Sumble,active,2022,"San Francisco, CA",sumble.com,AI; Sales Intelligence; GTM Data,,,,,,,,,,,medium,2026-03-20
sunday-robotics,Sunday,active,2024,"California, USA (exact city unconfirmed; likely San Francisco Bay Area)",https://www.sunday.ai,Consumer Robotics; Household Automation,,200.0,1150.0,,,,,,,,medium,2026-03-20
suno,Suno,active,2021,"Cambridge, Massachusetts",https://suno.com,AI Music Generation,,375.0,2450.0,,,,$300M (February 2026),,50,,medium,2026-03-20
sunrise-ai,Sunrise,active,2024,"China (likely Shanghai/Shenzhen, aligned with SenseTime)",Not publicly confirmed,AI Chips; GPU Development,,431.0,,,,,,,,,medium,2026-03-20
synthesia,Synthesia,active,2017,"London, UK (20 Triton Street)",AI Video Generation (Avatar-based),generative-ai; video; avatars,,536.0,4000.0,,,,,,661,,medium,2026-03-20
tabnine,Tabnine,active,2013,"Tel Aviv, Israel",https://www.tabnine.com,AI-Powered Developer Tools,,67.0,,,,,,,72,,medium,2026-03-20
tavus,Tavus,active,2021,"San Francisco, CA",https://www.tavus.io,AI Video; Human Computing,,64.2,,Series B,2025-11-12,,,,40,,medium,2026-03-20
taxo,Taxo,active,2024,United States,,AI Applications; Healthcare,,5.0,,,,,,Harvard teaching hospitals (pilot); Stanford teaching hospitals (pilot),,,medium,2026-03-20
tenstorrent,Tenstorrent,active,2016,"Toronto, Ontario, Canada (with offices in Austin, TX and Santa Clara, CA)",https://tenstorrent.com,AI Hardware; Semiconductors; RISC-V IP Licensing,,1180.0,3200.0,,,,,,400,,medium,2026-03-20
tessl,Tessl,active,2024,"London, United Kingdom",https://tessl.io,AI-Powered Developer Tools,,125.0,750.0,,,,,,21,,high,2026-03-20
thinking-machines-lab,Thinking Machines Lab,public,2025,"San Francisco, CA",https://thinkingmachines.ai,AI; Frontier Models; Model Customization,,2000.0,12000.0,,,,,,30,,medium,2026-03-20
thoughtspot,ThoughtSpot,active,2012,"Mountain View, California, USA",https://www.thoughtspot.com,AI-Native Business Intelligence & Analytics,,,,,,,,,,,medium,2026-03-20
together-ai,Together AI,active,2022,"San Francisco, CA",https://www.together.ai,AI Infrastructure; Cloud,,534.0,3300.0,,,,,,,,medium,2026-03-20
tome,Tome,acquired,2020,"San Francisco, CA",tome.app,AI Presentations; Sales Intelligence (pivoted),,,,,,,,,30,,medium,2026-03-20
tonic-ai,Tonic.ai,active,2018,"San Francisco, California, USA",https://www.tonic.ai,Synthetic Data & Data Privacy,,,,,,,,,,,medium,2026-03-20
tractian,Tractian,active,2019,"Atlanta, GA (originally Sao Paulo, Brazil)",https://tractian.com,Manufacturing AI; Industrial AI,,180.0,720.0,,,,,,500,,medium,2026-03-20
tripo-ai,Tripo AI,active,2023,"Beijing, China (with global user base, 90% outside China)",https://www.tripo3d.ai,AI 3D Generation; Generative AI,,50.0,,,,,,,50,,medium,2026-03-20
turing,Turing,active,2018,"Palo Alto, California, USA",https://www.turing.com,AI; Developer Platform; LLM Training Infrastructure,,247.0,2200.0,"Series E ($111M, March 2025)",,,,,5000,,high,2026-03-20
twelve-labs,Twelve Labs,active,2021,"San Francisco, CA (660 4th Street)",twelvelabs.io,Multimodal AI; Video Understanding,,107.0,300.0,,,,,,,,medium-high,2026-03-20
typeface,Typeface,active,2022,"Palo Alto, California",typeface.ai,Enterprise AI; Generative AI for Marketing & Content,,305.0,1000.0,,,,,,250,,high,2026-03-20
udio,Udio,active,2023,"New York, NY, USA",udio.com,AI Music Generation,,,,,,,,,,,high (funding figures and founder names widely corroborated; some details like exact valuation and Series A timing are uncertain),2026-03-20
unconventional-ai,Unconventional AI,active,2025,"San Francisco, CA (some sources report San Diego, CA)",https://unconv.ai,AI Hardware; Neuromorphic Computing,,,,,,,,,26,,medium,2026-03-20
unstructured,"Unstructured (Unstructured Technologies, Inc.)",active,2022,"Rocklin, California (Sacramento metro area)",https://unstructured.io,AI Infrastructure; Data ETL & Preprocessing,,65.0,,"Series B ($40M, March 2024)",,,,,,,high,2026-03-20
vannevar-labs,Vannevar Labs,active,2019,"San Francisco, California",https://www.vannevarlabs.com,defense-govtech; artificial-intelligence; intelligence-analysis,"AI-powered intelligence analysis platform for US military and intelligence community, specializing in Indo-Pacific operations.",91.5,,,,"Enterprise AI software for intelligence analysis. Vannevar Labs builds AI-powered platforms that ingest, fuse, and analyze multi-source intelligence data to provide real-time actionable insights for military commanders and intelligence analysts. Revenue comes from government contracts, including a major DIU (Defense Innovation Unit) production contract. The company follows a land-and-expand model within the defense/IC customer base, starting with specific combatant commands and expanding across the DoD.",Revenue grew from $3.5M in 2021 to $80M in 2024 -- a 23x increase in three years. Company achieved profitability within three years of founding. DIU production contract (awarded Nov 2024) has a ceiling value of $99M with $16M obligated at award. Over 200 employees as of December 2025. [Confidence: high -- revenue figures from Contrary Research and company disclosures.],U.S. Indo-Pacific Command (INDOPACOM); Air Force Special Operations Command (AFSOC); U.S. Special Operations Command (SOCOM); National Air and Space Intelligence Center (NASIC); Defense Innovation Unit (DIU); U.S. Intelligence Community,,"No China connection. CEO Brett Granberg comes from In-Q-Tel (CIA's venture arm). The company's primary mission is supporting US military operations against peer adversaries, with particular focus on the Indo-Pacific theater (i.e., deterring China). Vannevar works exclusively with US defense and intelligence customers.",high,2026-03-20
vast-data,VAST Data,active,2016,"New York, NY (R&D center in Tel Aviv, Israel)",https://www.vastdata.com,AI; Data Infrastructure & Storage Platform,,1380.0,30000.0,,,,,,500,,high,2026-03-20
