company_slug,name,role,background,origin,prior
databricks,Matei Zaharia,Co-Founder & CTO,"Undergraduate, University of Waterloo; PhD, UC Berkeley",Romanian-Canadian,Creator of Apache Spark; Assistant Professor at Stanford University (previously MIT)
databricks,Patrick Wendell,Co-Founder,"PhD student, UC Berkeley (AMPLab)",American (unconfirmed - limited public info),Early Spark contributor
databricks,Reynold Xin,Co-Founder,"PhD Computer Science, UC Berkeley",Chinese-American,Research scientist at AMPLab; co-created core Spark APIs
databricks,Andy Konwinski,Co-Founder,"PhD student, UC Berkeley (AMPLab)",American (unconfirmed - limited public info),Contributor to Apache Mesos and Spark projects
databricks,Arsalan Tavakoli-Shiraji,Co-Founder,UC Berkeley,American,McKinsey & Company
datacurve,Serena Ge,Co-Founder,Former ML engineer intern at Cohere University of Waterloo (CS),Chinese-American,
datacurve,Charley Lee,Co-Founder,Former intern at Google; AI research on multi-modal RL and browser-use agents University of Waterloo (CS),Chinese-American,
dataminr,Ted Bailey,CEO & Chairman,BA Yale University (focus on impact of disruptive technologies). Pioneered real-time AI for event detection from public data. WEF Tech Pioneer. Business Insider 40 Under 40.,American,
dataminr,Jeff Kinsey,CTO,BS CS Yale University. Former technical consultant building analytics tools for research institutions and enterprises. Designed and built core components of Dataminr's AI platform since 2009.,American,
dataminr,Sam Hendel,co-founder; no longer in operating role,Yale University. Co-founded Dataminr with Bailey and Kinsey as Yale roommates.,American,
datapeople,Amit Bhatia,Co-Founder,B.A.Sc. in Computer Engineering from Nanyang Technological University; MBA in Finance from UCLA; former Executive Director at Morgan Stanley (media investment banking); Citigroup Management Associate; early career in software engineering at Infineon and NCS Group in Singapore,India / Singapore,
datapeople,Phillip Reyland,Co-Founder,"Founded and led The Byte Dept as Managing Director; co-founded TapRecruit; bootstrapped Datapeople for several years while building proprietary recruiting language analytics, analyzing job postings from 40,000+ companies",American,
datawizz,Iddo Gino,CEO,Previously built RapidAPI into world largest API marketplace,Israeli,
david-ai,Tomer Cohen,CEO,Former Scale AI employee,Israeli,
david-ai,Ben Wiley,CTO,Former Scale AI employee,American,
day-ai,Christopher O'Donnell,CEO,Former VP of Product / CPO at HubSpot; helped scale HubSpot through IPO era,American,
day-ai,Michael Pici,Co-Founder,"Former VP of Product, Revenue at HubSpot; co-built HubSpot's original CRM and Sales Hub",American,
decagon,Jesse Zhang,Co-Founder & CEO,"B.S. Computer Science from Harvard University. Interned at Citadel, Google, Hudson River Trading, Intel, and Kensho. Founded Lowkey, a social gaming startup backed by Y Combinator and a16z, which was acquired by Niantic (maker of Pokemon GO) in 2021 in a mid-eight-figure transaction. Worked on the Social team at Niantic post-acquisition. Forbes 30 Under 30 (AI list). Grew up in Boulder, Colorado.",Chinese-American,
decagon,Ashwin Sreenivas,Co-Founder & CTO,"B.S. and M.S. in Computer Science from Stanford University. Worked as Deployment Strategist at Palantir Technologies. Co-founded Helia (AI startup acquired by Scale AI in December 2020), where he served as CTO. Deep expertise in AI/ML infrastructure and enterprise deployments.",Indian-American,
decart,Dean Leitersdorf,Co-Founder & CEO,"PhD in Computer Science (completed at age 23), awarded ACM PODC Dissertation Award. Postdoc at National University of Singapore. Began undergrad at 17. Veteran of Israel's Unit 8200.",Israeli,
decart,Moshe Shalev,Co-Founder & CPO,"13+ years in IDF Unit 8200, helped build and run AI operations. Self-taught in CS during military service. Grew up in a Haredi household in Bnei Brak. Enlisted via the Bina Beyarok program for ultra-Orthodox men.",Israeli,
dedalus-labs,Unknown,Co-Founder,YC S25 batch.,,
deep-robotics,Zhu Qiuguo,CEO,Associate Professor and PhD advisor at Zhejiang University; led development of Jueying quadruped robot and Wukong humanoid,Chinese,
deep-robotics,Li Chao,Co-Founder,Co-founded DEEP Robotics in 2017,Chinese,
deepaware-ai,Unknown,Co-Founder,YC S25 batch.,,
deepbrain-ai,Eric Jang,CEO,AI entrepreneur; leads global expansion from Seoul,Korean,
deepgram,Scott Stephenson,CEO,Dark matter physicist. PhD-level research at University of Michigan (waveform analysis). YC alumni.,American,
deepgram,Adam Sypniewski,CTO,"PhD experimental astrophysics, University of Michigan. Applied ML to autonomous vehicles.",Polish-American,
deepgram,Noah Shutty,Co-founder,Physicist from University of Michigan.,American,
deepjudge,Paulina Grnarova,Co-Founder & CEO,Former Google Brain team. PhD in generative AI from ETH Zurich. Master's in CS from EPF Lausanne. Forbes 30 Under 30. Digital Shaper of Switzerland (3x).,North Macedonian,
deepjudge,Kevin Roth,Co-Founder & COO,Former Google Brain (Berlin) and Microsoft Research (Cambridge). PhD in machine learning from ETH Zurich. ETH Medal in Physics.,German,
deepjudge,Yannic Kilcher,Co-Founder & CTO,Former Google AI Language. Runs the largest YouTube channel on ML research. Led development of OpenAssistant. PhD from ETH Zurich.,Swiss,
deepl,Jaroslaw (Jarek) Kutylowski,CEO (since 2019; previously CTO),"PhD in Computer Science (emphasis on mathematics) -- institution not publicly confirmed CTO, Linguee (2012-2017)",Polish,
deepl,Gereon Frahling,Former Head of Research (departed ~2019),"PhD (field unconfirmed) Founder & CEO, Linguee (2009-2017); Research Scientist, Google",German,
deepl,Leonard Fink,Co-founder (current role unclear),Co-developed Linguee with Gereon Frahling,American,
deepnote,Jakub Jurovych,Founder & CEO,"BS CS Masaryk University, MPhil Cambridge (ML, computer vision, HCI). Former Firefox DevTools engineer at Mozilla. Former CTO at Operam (scaled 0 to 120 FTE) and Unite (acquired 2015). Co-founded Hack Cambridge hackathon. Forbes 30 Under 30. YC alum.",Czech/Slovak,
deepnote,Filip Stollar,Co-founder,,Czech/Slovak,
deepnote,Jan Matas,Co-founder,,Czech/Slovak,
deepnote,Jirka Lhotka,Co-founder,,Czech/Slovak,
deeproute-ai,Zhou Guang,CEO,Autonomous driving researcher.,,
deepseek,Liang Wenfeng,CEO,Founder of High-Flyer Capital Management (~$8B AUM hedge fund); self-funded DeepSeek with proprietary capital,Chinese,
deeptune,Tim Lupo,CEO,CEO and co-founder; leads ~20-person team in New York building RL training environments for AI agents,American,
defog,Medha Basu,Co-Founder,Former journalist/editor turned content marketing entrepreneur. Grew an enterprise content marketing firm from $0 to 7-figure annual revenue. Built a digital media startup for governments in Asia focused on tech in public service delivery.,Singaporean/Indian (inferred),
defog,Rishabh Srivastava,Co-Founder,Technical co-founder with machine learning expertise. Y Combinator W23 alumnus.,Indian,
delve-ai,Karun Kaushik,Co-Founder & CEO,"MIT dropout (sophomore year, 2023). Studied AI at MIT.",Indian,
delve-ai,Selin Kocalar,Co-Founder,"MIT dropout (sophomore year, 2023). Studied AI at MIT.",Turkish,
descript,Andrew Mason,Executive Chairman (formerly CEO),"Co-founder & former CEO of Groupon; Northwestern University (Music, 2003); founded Detour (audio tours app, acquired by Bose 2018)",American,
design-arena,Unknown,Co-Founder,YC S25 batch.,,
dev-agents,David Singleton,CEO,"Ex-CTO Stripe, ex-VP Engineering Android at Google",British,
devrev,Dheeraj Pandey,Co-Founder & CEO,"BS CS&E IIT Kanpur (1997), MS CS UT Austin. Co-founded Nutanix (2009, IPO 2016 on Nasdaq, served as CEO until 2020). Former Senior Manager Software Development at Oracle. Adobe board member.",Indian,
devrev,Manoj Agarwal,Co-Founder & CTO,Former SVP of Engineering at Nutanix. Deep enterprise infrastructure and engineering leadership experience. Co-founded DevRev with Pandey in 2020.,Indian,
diesel-labs,Anjali Midha,Co-Founder & CEO,MBA from MIT Sloan; BA from Tufts University; former Global Media & Agency Research Director at Twitter (joined via Bluefin Labs acquisition); VP Professional Services & Analytics at Bluefin Labs (MIT Media Lab spin-out pioneering Social TV analytics),American,
diesel-labs,Michael Fleischman,Co-Founder,"PhD in Computer Science from MIT; co-founded Bluefin Labs (social TV analytics, acquired by Twitter); currently CTO and Co-Founder at OpenSpace (construction AI); expertise in AI, NLP, and machine learning",American,
diesel-labs,Russell Stevens,Co-Founder,BA in Government from Dartmouth College; Master of Public Policy from Harvard Kennedy School; Head of Programs at MIT Center for Constructive Communication; Managing Partner at Saddle River Group; co-founded Cortico; former Partner at Ss+k marketing agency,American,
dify,Luyu Zhang,CEO,MS from USC. Former Product Director at Tencent CODING (DevOps platform).,,
dify,John Wang,Chief Engineer,Former Tencent engineer.,,
dify,Junchen (Richard) Yan,Co-founder,Co-founded Dify in 2023.,,
diligencesquared,Frederik Hansen,Co-Founder & CEO,"Former Principal at Blackstone Private Equity (San Francisco, New York, London). Multi-billion dollar buyout deals.",Danish,
diligencesquared,Søren Biltoft,Co-Founder & COO,"Former Principal at BCG, 7 years in BCG's private equity practice leading diligence efforts.",Danish,
diligencesquared,Harshil Rastogi,Co-Founder,Repeat founder. Former software engineer at Google.,Indian,
distyl-ai,Arjun Prakash,CEO,"Cornell BS EE/CS. Ex-BlackRock, Palantir, Snorkel AI.",Indian-American,
distyl-ai,Derek Ho,COO,Ex-Palantir.,Chinese-American,
ditto-ai-dating,Allen Wang,Co-Founder & CEO,UC Berkeley dropout. Conceived Ditto during undergrad.,Chinese-American,
ditto-ai-dating,Eric Liu,Co-Founder,UC Berkeley. Co-conceived Ditto with Allen Wang during undergrad.,Chinese-American,
doctronic,Matt Pavelle,Co-Founder & CEO,Repeat founder. Carnegie Mellon computer science graduate.,American,
doctronic,Dr. Adam Oskowitz,Co-Founder,Medical doctor providing clinical oversight for the platform.,American,
docugami,Jean Paoli,Co-Founder & CEO,Co-creator of the XML 1.0 standard (W3C). Created Microsoft InfoPath and modern Office file formats. Former President of Microsoft Open Technologies (open-source subsidiary). Spent 10 years at INRIA (French CS research institute) before joining Microsoft. Departed Microsoft in late 2017 to found Docugami.,French,
docugami,Mike Palmer,Co-Founder,Senior engineering leader from Microsoft.,American,
docugami,Andrew Begun,Co-Founder,Senior engineering leader from Microsoft.,American,
docugami,Taqi Jaffri,Co-Founder,Senior engineering leader from Microsoft.,American,
docugami,Martin Sawicki,Co-Founder,Senior engineering leader from Microsoft.,American,
dp-technology,Weinan E,Co-founder,Professor at Peking University and Princeton. Member of Chinese Academy of Sciences. World-renowned mathematician.,,
dp-technology,Linfeng Zhang,Chief Scientist,"BS Peking University, PhD Applied Mathematics Princeton. Director of AI for Science Institute.",,
dream-security,Shalev Hulio,Co-Founder & CEO,Former CEO of NSO Group (Pegasus spyware). Transitioned from offensive cyber to defense.,Israeli,
dream-security,Sebastian Kurz,Co-Founder & President,Former Chancellor of Austria. VP of business development at Dream Security.,Austrian,
dream-security,Gil Dolev,Co-Founder & CTO,Founder and former CEO of Wayout Group.,Israeli,
dualentry,Santiago Nestares,Co-Founder & CEO,"Previously co-founded Benitago (Amazon brand aggregator, scaled to $100M+ revenue). Experienced legacy ERP frustrations firsthand.",Latin American,
dualentry,Benedict Dohmen,Co-Founder,,German,
dust,Stanislas Polu,Co-Founder & CTO,"Former Research Engineer at OpenAI (3 years, studying mathematical reasoning in LLMs). Previously software engineer at Stripe. Co-founded Totems (acquired by Stripe in 2015) with Gabriel Hubert.",French,
dust,Gabriel Hubert,Co-Founder & CEO,Ecole Polytechnique + Stanford. Former CPO at Alan (European insurtech). Previously at Stripe (geographical expansion and product). Co-founded Totems with Stanislas Polu.,French,
dyna-robotics,Lindon Gao,Co-Founder & CEO,Previously co-founded Caper AI (acquired by Instacart for $350M). Repeat entrepreneur in AI hardware.,Chinese-American,
dyna-robotics,York Yang,Co-Founder,Previously co-founded Caper AI (acquired by Instacart for $350M). Repeat entrepreneur.,Chinese-American,
dyna-robotics,Jason Ma,Co-Founder,Former research scientist at Google DeepMind and NVIDIA. Developed foundation models for robotics.,Chinese-American,
e2b,Vasek Mlejnsky,Co-Founder & CEO,Studied at the Faculty of Mathematics and Physics (Czech Republic). Longtime friends with Tomas Valenta. Czech entrepreneur.,Czech,
e2b,Tomas Valenta,Co-Founder & CTO,Studied at the Faculty of Mathematics and Physics (Czech Republic). Technical co-founder with deep systems engineering expertise.,Czech,
earendil-labs,Jian Peng,CEO,PhD from Hunan University. Former Associate Professor at UIUC.,,
earendil-labs,Zhenping Zhu,President & Co-CEO,MD from Jiangxi Medical College. PhD immunology from Dalhousie University. Former Global VP Protein Sciences at Novartis.,,
earth-ai,Roman Teslyuk,"Founder, CEO & CTO",Ukrainian-born. Graduate studies at University of Sydney in mining/geology. Spun Earth AI out of doctoral research.,Ukrainian,
earth-ai,Igor Gerechko,Co-Founder,,Ukrainian,
edra,Eugen Alpeza,Co-Founder & CEO,7 years at Palantir. Co-head of forward deployed AI engineering. Started Palantir's work with AT&T. Launched Palantir's AI Platform.,Croatian,
edra,Yannis Karamanlakis,Co-Founder,First Forward Deployed AI Engineer at Palantir. Led team taking LLMs from demos to production.,Greek,
eightfold,Ashutosh Garg,Co-Founder & Co-CEO,"BTech from IIT-Delhi, PhD from UIUC. Former CTO & Co-Founder of BloomReach. Previously at Google (search/ML infrastructure) and IBM Research. 50+ patents, 30+ papers, author of a book on machine learning.",Indian,
eightfold,Varun Kacholia,Co-Founder & CTO,Ranked,Indian,
eikona,Nir Weingarten,Co-Founder & CEO,IDC Herzliya. Based in Tel Aviv.,Israeli,
eikona,Omer Hacohen,Co-Founder & CTO,"BSc Ben-Gurion University, BSc Open University of Israel. Former Team Lead AI SDK (Compiler) at NeuReality. Former Israeli Air Force.",Israeli,
elevenlabs,Mati Staniszewski,CEO,"Ex-Palantir deployment strategist; studied mathematics at Imperial College London; grew up in Warsaw, Poland",Polish,
elevenlabs,Piotr Dabkowski,CTO,"Ex-Google machine learning engineer; degrees from Oxford and Cambridge (AI/ML focus); NeurIPS-published researcher (image detection); grew up in Warsaw, Poland",Polish,
elicit,Andreas Stuhlmuller,Co-Founder & CEO,"PhD in Cognitive Science from MIT. Postdoc in Computation and Cognition at Stanford. Co-created WebPPL (probabilistic programming language). Founded Ought, an AI research nonprofit in 2017, from which Elicit was spun out as a public benefit corporation.",German (inferred from name),
eliseai,Minna Song,CEO & Co-Founder,CS degree from MIT. Former intern at Microsoft and MIT Lincoln Laboratory. Discovered real estate communication inefficiencies while working as admin assistant at NYC residential real estate firm. Met Stoyanov at Cambridge.,Korean-American,
eliseai,Stoyan (Tony) Stoyanov,CTO & Co-Founder,CS degree from University of Cambridge. Met Minna Song while both were undergraduates at Cambridge. Co-founded EliseAI in 2017 to automate tenant communication.,Bulgarian,
ema,Surojit Chatterjee,CEO,"Ex-Coinbase CPO, ex-Google VP",Indian,
emanate,Kiara Nirghin,CEO,"Stanford AI researcher, Google Science Fair Grand Prize winner, Thiel Fellow, youngest Google Impact Fund board member",South African (Indian descent),
embedder,Ethan Gibbs,Co-Founder,YC S25 batch.,,
embedder,Bob Wei,Co-Founder,YC S25 batch.,Chinese-American,
emerald-ai,Varun Sivaram,CEO,"Rhodes Scholar, physicist. Ex-McKinsey. Former CTO ReNew (India largest renewable). Biden admin adviser to John Kerry.",Indian-American,
emergent,Mukund Jha,CEO,Former Co-Founder/CTO at Dunzo; worked at Google Columbia University (Engineering),Indian,
emergent,Madhav Jha,CTO,"Von Neumann postdoctoral fellow at Sandia National Labs; founding member of Amazon SageMaker research team PhD in Theoretical Computer Science, Penn State University",Indian,
encharge-ai,Naveen Verma,Co-Founder & CEO,Professor of electrical and computer engineering at Princeton University. 2024 Edison Patent Award. Spun EnCharge out of Princeton research lab.,Indian-American,
encharge-ai,Felix Xiaochuan Lin,Co-Founder,,Chinese,
encharge-ai,Zizhen Zhong,Co-Founder,,Chinese,
encord,Eric Landau,Co-Founder & Co-CEO,Former lead quantitative researcher on global equity delta-one desk. Nearly a decade in high-frequency trading at DRW.,American,
encord,Ulrik Stig Hansen,Co-Founder & Co-CEO/President,Previously worked at J.P. Morgan. MSc Computer Science from Imperial College London.,Danish,
encord,Leeho Lim,Co-Founder,,Korean,
endra,Niklas Lindgren,CEO,Serial entrepreneur. Founded Sectragon (sold to PE). Saw MEP design inefficiency.,Swedish,
endra,Gustav Hammarlund,Technical Co-founder,Built Goldman Sachs EMEA equity trading infrastructure.,Swedish,
enfabrica,Rochan Sankar,CEO,Former Broadcom and Google executive.,,
enflame-technology,Zhao Lidong,CEO,Co-founded Enflame Technology in 2018; leads AI chip development for cloud training and inference,Chinese,
enflame-technology,Zhang Yalin,Co-Founder,Co-founded Enflame Technology in 2018,Chinese,
engine-ai,Zhao Tongyang,Founder & CEO,"8+ years in robotics. Started IoT business in 2012, invested in bipedal robots in 2016. Co-founded Shenzhen Pengxing Intelligent Research with XPeng Motors in 2018.",Chinese,
ensemble,Alex Reneau,Co-Founder & CEO,"PhD research at Northwestern University on programmable feature engineering for time series modeling; published multiple papers defining the field; research directly informed Ensemble's ""Dark Matter"" technology",American,
ensemble,Zach Albertson,Co-Founder & COO,Northwestern University; AI/ML consulting experience where he saw firsthand the challenges enterprises face implementing machine learning; practical background in data science and traditional ML,American,
enso,Mickey Haslavsky,Founder & CEO,"Co-founder of RapidAPI, one of the world's largest API development platforms.",Israeli,
entalpic,Mathieu Galtier,CEO,Former Chief Data & Platform Officer at Owkin (AI drug discovery unicorn); built Owkin's data partnership network with industrial leaders,French,
entalpic,Victor Schmidt,CTO,Researcher at Mila (Quebec AI Institute); authored papers on predictive and generative models for materials,French-Canadian,
entalpic,Alexandre Duval,CSO (Chief Scientific Officer),Researcher at Mila (Quebec AI Institute); co-authored foundational papers on AI for materials discovery,French,
enter-legal-brazil,Mateus Costa-Ribeiro,CEO,"Brazil youngest lawyer at 18, Harvard Law, left Stanford MBA",Brazilian,
entire,Thomas Dohmke,Founder & CEO,Former CEO of GitHub (Microsoft). Stepped down August 2025 to start Entire.,German,
envariant,Unknown,Co-Founder & CEO,ML research and interpretability background.,,
enveda,Viswa Colluru,Founder & CEO,"PhD in immuno-oncology from University of Wisconsin-Madison. First Innovation Scientist and Product Manager at Recursion Pharmaceuticals. Son of a pharmacist from Visakhapatnam, India. Built Enveda from $55k of personal savings. Named UBS Global Visionary 2023, WEF Unicorn Innovator Community member.",Indian,
enveda,Pieter Dorrestein,Scientific Co-Founder,One of the world's foremost experts in applying mass spectrometry to metabolomics. Professor at UC San Diego.,Dutch (inferred),
eon,Ofir Ehrlich,CEO,AWS alumnus; co-founded CloudEndure (acquired by Amazon in 2019); IDF Unit 8200 graduate,Israeli,
eon,Ron Kimchi,Co-founder,AWS alumnus; leads R&D center in Tel Aviv,Israeli,
eon,Gonen Stein,Co-founder,AWS alumnus; oversees business operations from New York,Israeli,
eos-ai,Unknown,Co-Founder & CEO,Healthcare technology and AI background.,,
epirus,Bo Marr,Co-Founder,Defense technology entrepreneur. Also co-founded Chaos Industries. Background in electromagnetic systems and directed-energy technology.,American,
epirus,Joe Lonsdale,Co-Founder,Co-founder of Palantir Technologies and managing partner of 8VC. Stanford University graduate. One of the most prolific defense tech investors and company builders in Silicon Valley.,American,
epirus,John Tenet,Co-Founder,Defense tech entrepreneur who later co-founded Chaos Industries. Background in defense technology and electronic warfare.,American,
epirus,Max Mednik,Co-Founder,Technology entrepreneur and investor. Background in building technology companies.,American,
epirus,Nathan Mintz,Co-Founder,Defense technology entrepreneur with expertise in directed-energy systems and counter-electronics applications.,American,
eragon-ai,Josh Sirota,Co-Founder & CEO,Previously at Oracle and Salesforce go-to-market teams. Scaled a Salesforce operating unit from inception to $200M ARR.,American,
eragon-ai,Rishabh Tiwari,Co-Founder,Berkeley CS PhD.,Indian,
eragon-ai,Vinayak Agarwal,Co-Founder,MIT PhD. Co-founder of K-Dense.,Indian,
eridu,Drew Perkins,CEO & Co-Founder,"Networking industry veteran since the 1980s. Helped create Point-to-Point Protocol (PPP), a key part of TCP/IP. Co-founded Lightera Networks (sold to Ciena for $500M+, 1999). Co-founded Infinera (IPO'd, later sold to Nokia for $2.3B in 2025).",American,
eridu,Omar Hassen,Chief Product Officer & Co-Founder,"Deep networking chip design experience. Previously held senior roles at Broadcom, Marvell, and International Rectifier managing chip design divisions.",Limited public information,
eridu,Mike Capuano,Chief Business Development & Marketing Officer & Co-Founder,Most recently SVP of Business Development at Ventana Systems (RISC-V server chips). Background in semiconductor business development.,American,
espresso-ai,Ben Lerner,Co-Founder & CEO,Technical founder with expertise in cloud infrastructure and optimization.,American,
espresso-ai,Juri Ganitkevitch,Co-Founder,Technical co-founder with ML and NLP expertise.,German,
espresso-ai,Alex Kouzemtchenko,Co-Founder,Technical co-founder.,Russian-Australian,
espresso-ai,Nima Badizadegan,Co-Founder,Technical co-founder.,Iranian-American,
essential-ai,Ashish Vaswani,Co-Founder & CEO,"BEng CS Birla Institute of Technology Mesra (2002), PhD CS USC (advised by David Chiang). Former researcher at Google Brain. Co-author of 'Attention Is All You Need' (2017) — the seminal paper introducing the Transformer architecture that underpins GPT, BERT, and modern LLMs.",Indian,
essential-ai,Niki Parmar,Co-Founder (departed ~September 2024),"MS CS USC. Former researcher at Google (sentence similarity, question answering). Co-author of 'Attention Is All You Need' (2017). Close collaborator with Vaswani at Google.","Indian (from Pune, India)",
etched,Gavin Uberti,CEO,Harvard dropout; leading effort to build transformer-only ASIC inference chips,American,
etched,Chris Zhu,CTO,Harvard dropout; co-founded Etched in 2022,Chinese-American,
etched,Robert Wachen,Co-Founder,Harvard dropout; co-founded Etched in 2022,American,
eudia,Omar Haroun,Co-Founder & CEO,Founded and sold Text IQ to Relativity. Led AI strategy at Relativity post-acquisition.,Egyptian-American,
eudia,Ashish Agrawal,Co-Founder & CTO,"Technical leadership roles at Amazon, Apple, and Google.",Indian,
eudia,David Van Reyk,Co-Founder & COO,Private equity and business transformations at CVC Capital Partners.,Australian,
eve-legal,Jay Madheswaran,Co-Founder & CEO,15+ years in AI/ML at Facebook and Rubrik. Previously with Lightspeed Venture Partners.,South Asian,
eve-legal,Matt,Co-Founder & CPO,Founding engineer at Rubrik. Decade of experience building AI products.,American,
eve-legal,David,Co-Founder & Head of Engineering,10+ years in AI and machine learning.,Chinese-American,
evenup,Rami Karabibar,CEO & Co-Founder,"Background in startup and VC operations. Previously worked across private equity, venture capital, and venture-backed startups including roles at Bain and Waymo.",Middle Eastern,
evenup,Saam Mashhad,CPO & Co-Founder,Former litigation attorney. Legal background drives EvenUp's approach to AI-assisted demand letter generation and case workflow optimization.,Iranian-American,
evenup,Raymond Mieszaniec,COO & Co-Founder,"BA Economics Simon Fraser University, MBA HKUST. Two-time entrepreneur (co-founded EquitySim). Former risk consultant at PwC Hong Kong. Former accountant at Scotiabank. Personal motivation: father permanently disabled in police-chase car accident, family received only 10% of average payout.",Canadian,
evertune,Brian Stempeck,CEO,"Former Trade Desk (grew from 8 people to IPO), Nielsen board",American,
evident,Elena Samuylova,Co-Founder & CEO,"7+ years helping large enterprises deploy ML systems; Co-Founder and CPO at Mechanica AI (industrial AI startup); led business development at Yandex Data Factory (enterprise AI division of Yandex); Graduate School of Management, St. Petersburg State University and Vienna University of Economics; named in ""50 Women in Product Europe"" (2018)",Russia,
evident,Emeli Dral,Co-Founder & CTO,BS and MS in Applied Mathematics from Peoples' Friendship University of Russia; MS in Computer Science from Yandex School of Data Analysis; Chief Data Scientist at Yandex Data Factory; co-founded Mechanica AI; co-author of most popular Russian-language ML course on Coursera (100K+ students); 50+ real-world ML projects,Russia,
evisort,Jerry Ting,CEO,"First-generation American. Harvard Law School. USC Summa Cum Laude, Trustee Scholar. Forbes 30 Under 30.",,
evolved-robotics,Gur Kimchi,Co-founder,"Co-founder Amazon Prime Air, former VP Amazon",Israeli,
evolved-robotics,Matthew Skeels,CEO,"Former Amazon Prime Air, former BRINC",,
exa,Will Bryk,CEO,CS & Physics Harvard. Led Harvard robotics club. One of the first engineers at Cresta (built real-time AI products). Published author on history of civilization. YC S21.,American,
exa,Jeff Wang,Co-Founder,CS & Philosophy Harvard. 3 years building data and web infrastructure at Plaid. Harvard roommate of Will Bryk. Ran GPU cluster in his dorm room.,American,
fable-security,Nicole Jiang,Co-Founder & CEO,Founding team member at Abnormal AI. Helped scale to hundreds of millions ARR. Pioneered behavioral-based security.,Chinese-American,
fable-security,Sanny Liao,Co-Founder & CPO,Dr. Founding team member at Abnormal AI. Pioneered behavioral-based security concept.,Chinese-American,
factory-ai,Matan Grinberg,CEO,PhD in theoretical physics; met co-founder at an AI hackathon,American,
factory-ai,Eno Reyes,CTO,Former data scientist at Hugging Face and Microsoft; thesis on deep learning and language models,Filipino-American,
fal-ai,Burkay Gur,Co-Founder & CEO,Previously at Coinbase.,Turkish,
fal-ai,Gorkem Yurtseven,Co-Founder,Previously at Amazon.,Turkish,
fauna-robotics,Rob Cochran,Co-Founder & CEO,Former CTRL-labs (acquired by Facebook/Meta in 2019). Wearable neurotech experience.,American,
fauna-robotics,Josh Merel,Co-Founder & CTO,Former DeepMind research scientist. Neuroscience and robotics research.,American,
fenrock,Unknown,Co-Founder & CEO,Financial compliance and AI background.,,
field-ai,Ali Agha,Founder & CEO,"Spent nearly a decade at NASA's Jet Propulsion Laboratory (JPL) specializing in robotics autonomy and physical AI. Led teams that competed in the DARPA Subterranean Challenge. Built FieldAI's core technology around enabling robots to operate autonomously without GPS, maps, or pre-programmed routes.",Iranian-American,
fieldguide,Jin Chang,Co-Founder & CEO,Former EY practitioner. Previously at legal AI startup Atrium.,Korean-American,
fieldguide,Chris Szymansky,Co-Founder & CTO,Previously at legal AI startup Atrium where he met Jin Chang.,American,
figure-ai,Brett Adcock,Founder & CEO,"American, raised on a family farm near Moweaqua, Illinois. BS from University of Florida (2008). Serial entrepreneur: founded Vettery (hiring marketplace, acquired by Adecco Group ~2018), co-founded Archer Aviation (eVTOL, NYSE: ACHR, IPO 2021). Named to TIME100 AI list (2024). Also founded Cover (AI school-security startup, 2023) and Hark (independent AI lab, self-funded $100M, late 2025). Remains CEO of both Figure and Hark.","American (white, rural Illinois)",
filed,Leroy Kerry,Co-Founder & CEO,Previous startup experience from Swedish fintech Juni.,British,
filed,Atul Ramachandran,Co-Founder & CTO,Former engineering leader at PayPal.,Indian,
final-round-ai,Michael Guan,Co-Founder & CEO,Yale University. Former CTO at CYNK; previously in product marketing at Starburst Data (supported $250M Series D).,Chinese-American,
final-round-ai,Jay Ma,Co-Founder & CTO,"University of Illinois at Urbana-Champaign. Former ML engineer at Pinterest, Meta, and AMD. Reverse-engineered LinkedIn while in college.",Chinese-American,
finster-ai,Sid Jayakumar,Founder,7 years AI research at Google DeepMind,Indian-British,
finto,Jonas Morgner,Co-Founder,YC S25 batch.,German (inferred from name),
finto,Linus Boehm,Co-Founder,YC S25 batch.,German (inferred from name),
finto,Lorenz Neuner,Co-Founder,YC S25 batch.,German (inferred from name),
firecrawl,Caleb Peffer,Co-Founder & CEO,"Serial builder with 10+ years in software engineering. Previously built Mendable (chat-with-docs, customers included Snapchat, Coinbase, MongoDB) and co-founded SideGuide (learn-to-code in VS Code, 50K users). YC alum (S22).",American,
firecrawl,Eric Ciarla,Co-Founder & CMO,Studied Economics and Philosophy at University of New Hampshire. Former Data Scientist at Ford and Fracta. Co-founded Mendable and SideGuide with Peffer and Camara before Firecrawl.,American,
firecrawl,Nicolas Silberstein Camara,Co-Founder & CTO,"Studied at University of New Hampshire. Previously built Mendable (AI docs search), SideGuide, FlutterBricks, and HallHub. Creator of FlutterGuide community (50K developers). Firecrawl was originally an internal tool at Mendable.",American,
fireflies-ai,Krish Ramineni,Co-Founder & CEO,"Former product manager at Microsoft. UPenn grad (summa cum laude, HCI). Forbes 30 Under 30 (2021).",Indian-American,
fireflies-ai,Sam Udotong,Co-Founder & CTO,,Nigerian,
fireworks-ai,Lin Qiao,CEO,"PhD CS, UC Santa Barbara. Former Head of PyTorch at Meta.",Chinese-American,
fireworks-ai,Benny Chen,Co-founder,Former Meta Ads Infrastructure Lead.,Chinese-American,
fireworks-ai,Dmytro Dzhulgakov,Co-founder,PyTorch core maintainer at Meta.,Ukrainian,
flair,Mickey Friedman,Co-Founder & CEO,University of Chicago graduate. Co-launched Flair.ai in 2022. Previously worked with AI teams and organizes SF AI Tinkerers events.,American,
