company_slug,company_name,founder_name,role,background,origin,status
dart,Dart,Milad Malek,Co-Founder,BS in Physics from Stanford; former Senior Ventures Associate at Plug and Play Ventures (2018-2021) leading the Smart Cities vertical focused on energy and sustainability,American,
dart,Dart,Zack Swafford,Co-Founder,"BS and MS in Computer Science (AI specialization) from Stanford; first engineer at Plenty (indoor farming), later led software engineering there; co-founded Atch; AI/ML/CV consulting; taught at Stanford; investor at Plug and Play Ventures",American,
databricks,Databricks,Ali Ghodsi,Co-Founder & CEO,"PhD Distributed Computing, KTH Royal Institute of Technology (2006); MBA, Mid-Sweden University; MSc Computer Engineering, Mid-Sweden University","Iranian-Swedish (born in Iran, raised in Sweden)",
databricks,Databricks,Ion Stoica,Co-Founder & Executive Chairman,"MS Electrical Engineering & CS, Polytechnic University of Bucharest; PhD, Carnegie Mellon University (inferred from CS career path, started at Old Dominion University)",Romanian-American (born in Romania),
databricks,Databricks,Matei Zaharia,Co-Founder & CTO,"Undergraduate, University of Waterloo; PhD, UC Berkeley",Romanian-Canadian,
databricks,Databricks,Patrick Wendell,Co-Founder,"PhD student, UC Berkeley (AMPLab)",American (unconfirmed - limited public info),
databricks,Databricks,Reynold Xin,Co-Founder,"PhD Computer Science, UC Berkeley",Chinese-American,
databricks,Databricks,Andy Konwinski,Co-Founder,"PhD student, UC Berkeley (AMPLab)",American (unconfirmed - limited public info),
databricks,Databricks,Arsalan Tavakoli-Shiraji,Co-Founder,UC Berkeley,American,
datacurve,Datacurve,Serena Ge,Co-Founder,Former ML engineer intern at Cohere University of Waterloo (CS),Chinese-American,
datacurve,Datacurve,Charley Lee,Co-Founder,Former intern at Google; AI research on multi-modal RL and browser-use agents University of Waterloo (CS),Chinese-American,
dataminr,Dataminr,Ted Bailey,CEO & Chairman,BA Yale University (focus on impact of disruptive technologies). Pioneered real-time AI for event detection from public data. WEF Tech Pioneer. Business Insider 40 Under 40.,American,
dataminr,Dataminr,Jeff Kinsey,CTO,BS CS Yale University. Former technical consultant building analytics tools for research institutions and enterprises. Designed and built core components of Dataminr's AI platform since 2009.,American,
dataminr,Dataminr,Sam Hendel,co-founder; no longer in operating role,Yale University. Co-founded Dataminr with Bailey and Kinsey as Yale roommates.,American,
datapeople,Datapeople,Amit Bhatia,Co-Founder,B.A.Sc. in Computer Engineering from Nanyang Technological University; MBA in Finance from UCLA; former Executive Director at Morgan Stanley (media investment banking); Citigroup Management Associate; early career in software engineering at Infineon and NCS Group in Singapore,India / Singapore,
datapeople,Datapeople,Phillip Reyland,Co-Founder,"Founded and led The Byte Dept as Managing Director; co-founded TapRecruit; bootstrapped Datapeople for several years while building proprietary recruiting language analytics, analyzing job postings from 40,000+ companies",American,
datawizz,Datawizz,Iddo Gino,CEO,Previously built RapidAPI into world largest API marketplace,Israeli,
david-ai,David Ai,Tomer Cohen,CEO,Former Scale AI employee,Israeli,
david-ai,David Ai,Ben Wiley,CTO,Former Scale AI employee,American,
day-ai,Day Ai,Christopher O'Donnell,CEO,Former VP of Product / CPO at HubSpot; helped scale HubSpot through IPO era,American,
day-ai,Day Ai,Michael Pici,Co-Founder,"Former VP of Product, Revenue at HubSpot; co-built HubSpot's original CRM and Sales Hub",American,
dbos,Dbos,Michael Stonebraker,Co-founder,Turing Award recipient. Creator of PostgreSQL. Founded 6+ data companies.,,
dbos,Dbos,Matei Zaharia,Co-founder,Creator of Apache Spark. CTO of Databricks.,,
dbos,Dbos,Qian Li,Co-founder,PhD Computer Science Stanford. BS from Peking University.,Chinese,
decagon,Decagon,Jesse Zhang,Co-Founder & CEO,"B.S. Computer Science from Harvard University. Interned at Citadel, Google, Hudson River Trading, Intel, and Kensho. Founded Lowkey, a social gaming startup backed by Y Combinator and a16z, which was acquired by Niantic (maker of Pokemon GO) in 2021 in a mid-eight-figure transaction. Worked on the Social team at Niantic post-acquisition. Forbes 30 Under 30 (AI list). Grew up in Boulder, Colorado.",Chinese-American,
decagon,Decagon,Ashwin Sreenivas,Co-Founder & CTO,"B.S. and M.S. in Computer Science from Stanford University. Worked as Deployment Strategist at Palantir Technologies. Co-founded Helia (AI startup acquired by Scale AI in December 2020), where he served as CTO. Deep expertise in AI/ML infrastructure and enterprise deployments.",Indian-American,
decart,Decart,Dean Leitersdorf,Co-Founder & CEO,"PhD in Computer Science (completed at age 23), awarded ACM PODC Dissertation Award. Postdoc at National University of Singapore. Began undergrad at 17. Veteran of Israel's Unit 8200.",Israeli,
decart,Decart,Moshe Shalev,Co-Founder & CPO,"13+ years in IDF Unit 8200, helped build and run AI operations. Self-taught in CS during military service. Grew up in a Haredi household in Bnei Brak. Enlisted via the Bina Beyarok program for ultra-Orthodox men.",Israeli,
dedalus-labs,Dedalus Labs,Unknown,Co-Founder,YC S25 batch.,,
deep-robotics,Deep Robotics,Zhu Qiuguo,CEO,Associate Professor and PhD advisor at Zhejiang University; led development of Jueying quadruped robot and Wukong humanoid,Chinese,
deep-robotics,Deep Robotics,Li Chao,Co-Founder,Co-founded DEEP Robotics in 2017,Chinese,
deepaware-ai,Deepaware Ai,Unknown,Co-Founder,YC S25 batch.,,
deepbrain-ai,Deepbrain Ai,Eric Jang,CEO,AI entrepreneur; leads global expansion from Seoul,Korean,
deepgram,Deepgram,Scott Stephenson,CEO,Dark matter physicist. PhD-level research at University of Michigan (waveform analysis). YC alumni.,American,
deepgram,Deepgram,Adam Sypniewski,CTO,"PhD experimental astrophysics, University of Michigan. Applied ML to autonomous vehicles.",Polish-American,
deepgram,Deepgram,Noah Shutty,Co-founder,Physicist from University of Michigan.,American,
deepjudge,Deepjudge,Paulina Grnarova,Co-Founder & CEO,Former Google Brain team. PhD in generative AI from ETH Zurich. Master's in CS from EPF Lausanne. Forbes 30 Under 30. Digital Shaper of Switzerland (3x).,North Macedonian,
deepjudge,Deepjudge,Kevin Roth,Co-Founder & COO,Former Google Brain (Berlin) and Microsoft Research (Cambridge). PhD in machine learning from ETH Zurich. ETH Medal in Physics.,German,
deepjudge,Deepjudge,Yannic Kilcher,Co-Founder & CTO,Former Google AI Language. Runs the largest YouTube channel on ML research. Led development of OpenAssistant. PhD from ETH Zurich.,Swiss,
deepl,Deepl,Jaroslaw (Jarek) Kutylowski,CEO (since 2019; previously CTO),"PhD in Computer Science (emphasis on mathematics) -- institution not publicly confirmed CTO, Linguee (2012-2017)",Polish,
deepl,Deepl,Gereon Frahling,Former Head of Research (departed ~2019),"PhD (field unconfirmed) Founder & CEO, Linguee (2009-2017); Research Scientist, Google",German,
deepl,Deepl,Leonard Fink,Co-founder (current role unclear),Co-developed Linguee with Gereon Frahling,American,
deepnote,Deepnote,Jakub Jurovych,Founder & CEO,"BS CS Masaryk University, MPhil Cambridge (ML, computer vision, HCI). Former Firefox DevTools engineer at Mozilla. Former CTO at Operam (scaled 0 to 120 FTE) and Unite (acquired 2015). Co-founded Hack Cambridge hackathon. Forbes 30 Under 30. YC alum.",Czech/Slovak,
deepnote,Deepnote,Filip Stollar,Co-founder,,Czech/Slovak,
deepnote,Deepnote,Jan Matas,Co-founder,,Czech/Slovak,
deepnote,Deepnote,Jirka Lhotka,Co-founder,,Czech/Slovak,
deeproute-ai,Deeproute Ai,Zhou Guang,CEO,Autonomous driving researcher.,,
deepseek,Deepseek,Liang Wenfeng,CEO,Founder of High-Flyer Capital Management (~$8B AUM hedge fund); self-funded DeepSeek with proprietary capital,Chinese,
deeptune,Deeptune,Tim Lupo,CEO,CEO and co-founder; leads ~20-person team in New York building RL training environments for AI agents,American,
defog,Defog,Medha Basu,Co-Founder,Former journalist/editor turned content marketing entrepreneur. Grew an enterprise content marketing firm from $0 to 7-figure annual revenue. Built a digital media startup for governments in Asia focused on tech in public service delivery.,Singaporean/Indian (inferred),
defog,Defog,Rishabh Srivastava,Co-Founder,Technical co-founder with machine learning expertise. Y Combinator W23 alumnus.,Indian,
delve-ai,Delve Ai,Karun Kaushik,Co-Founder & CEO,"MIT dropout (sophomore year, 2023). Studied AI at MIT.",Indian,
delve-ai,Delve Ai,Selin Kocalar,Co-Founder,"MIT dropout (sophomore year, 2023). Studied AI at MIT.",Turkish,
descript,Descript,Andrew Mason,Executive Chairman (formerly CEO),"Co-founder & former CEO of Groupon; Northwestern University (Music, 2003); founded Detour (audio tours app, acquired by Bose 2018)",American,
design-arena,Design Arena,Unknown,Co-Founder,YC S25 batch.,,
dev-agents,Dev Agents,David Singleton,CEO,"Ex-CTO Stripe, ex-VP Engineering Android at Google",British,
devrev,Devrev,Dheeraj Pandey,Co-Founder & CEO,"BS CS&E IIT Kanpur (1997), MS CS UT Austin. Co-founded Nutanix (2009, IPO 2016 on Nasdaq, served as CEO until 2020). Former Senior Manager Software Development at Oracle. Adobe board member.",Indian,
devrev,Devrev,Manoj Agarwal,Co-Founder & CTO,Former SVP of Engineering at Nutanix. Deep enterprise infrastructure and engineering leadership experience. Co-founded DevRev with Pandey in 2020.,Indian,
dexmate,Dexmate,Tao Chen,CEO,PhD MIT CSAIL. BS Shanghai Jiao Tong University. Reinforcement learning and robot control.,Chinese,
dexmate,Dexmate,Yuzhe Qin,CTO,PhD UCSD. Computer vision and learning from demonstrations. Qualcomm Scholar.,Chinese,
diesel-labs,Diesel Labs,Anjali Midha,Co-Founder & CEO,MBA from MIT Sloan; BA from Tufts University; former Global Media & Agency Research Director at Twitter (joined via Bluefin Labs acquisition); VP Professional Services & Analytics at Bluefin Labs (MIT Media Lab spin-out pioneering Social TV analytics),American,
diesel-labs,Diesel Labs,Michael Fleischman,Co-Founder,"PhD in Computer Science from MIT; co-founded Bluefin Labs (social TV analytics, acquired by Twitter); currently CTO and Co-Founder at OpenSpace (construction AI); expertise in AI, NLP, and machine learning",American,
diesel-labs,Diesel Labs,Russell Stevens,Co-Founder,BA in Government from Dartmouth College; Master of Public Policy from Harvard Kennedy School; Head of Programs at MIT Center for Constructive Communication; Managing Partner at Saddle River Group; co-founded Cortico; former Partner at Ss+k marketing agency,American,
dify,Dify,Luyu Zhang,CEO,MS from USC. Former Product Director at Tencent CODING (DevOps platform).,Chinese,
dify,Dify,John Wang,Chief Engineer,Former Tencent engineer.,Chinese,
dify,Dify,Junchen (Richard) Yan,Co-founder,Co-founded Dify in 2023.,Chinese,
diligencesquared,Diligencesquared,Frederik Hansen,Co-Founder & CEO,"Former Principal at Blackstone Private Equity (San Francisco, New York, London). Multi-billion dollar buyout deals.",Danish,
diligencesquared,Diligencesquared,Søren Biltoft,Co-Founder & COO,"Former Principal at BCG, 7 years in BCG's private equity practice leading diligence efforts.",Danish,
diligencesquared,Diligencesquared,Harshil Rastogi,Co-Founder,Repeat founder. Former software engineer at Google.,Indian,
distyl-ai,Distyl Ai,Arjun Prakash,CEO,"Cornell BS EE/CS. Ex-BlackRock, Palantir, Snorkel AI.",Indian-American,
distyl-ai,Distyl Ai,Derek Ho,COO,Ex-Palantir.,Chinese-American,
ditto-ai-dating,Ditto Ai Dating,Allen Wang,Co-Founder & CEO,UC Berkeley dropout. Conceived Ditto during undergrad.,Chinese-American,
ditto-ai-dating,Ditto Ai Dating,Eric Liu,Co-Founder,UC Berkeley. Co-conceived Ditto with Allen Wang during undergrad.,Chinese-American,
doctronic,Doctronic,Matt Pavelle,Co-Founder & CEO,Repeat founder. Carnegie Mellon computer science graduate.,American,
doctronic,Doctronic,Dr. Adam Oskowitz,Co-Founder,Medical doctor providing clinical oversight for the platform.,American,
docugami,Docugami,Jean Paoli,Co-Founder & CEO,Co-creator of the XML 1.0 standard (W3C). Created Microsoft InfoPath and modern Office file formats. Former President of Microsoft Open Technologies (open-source subsidiary). Spent 10 years at INRIA (French CS research institute) before joining Microsoft. Departed Microsoft in late 2017 to found Docugami.,French,
docugami,Docugami,Mike Palmer,Co-Founder,Senior engineering leader from Microsoft.,American,
docugami,Docugami,Andrew Begun,Co-Founder,Senior engineering leader from Microsoft.,American,
docugami,Docugami,Taqi Jaffri,Co-Founder,Senior engineering leader from Microsoft.,American,
docugami,Docugami,Martin Sawicki,Co-Founder,Senior engineering leader from Microsoft.,American,
dp-technology,Dp Technology,Weinan E,Co-founder,Professor at Peking University and Princeton. Member of Chinese Academy of Sciences. World-renowned mathematician.,Chinese,
dp-technology,Dp Technology,Linfeng Zhang,Chief Scientist,"BS Peking University, PhD Applied Mathematics Princeton. Director of AI for Science Institute.",Chinese,
dream-security,Dream Security,Shalev Hulio,Co-Founder & CEO,Former CEO of NSO Group (Pegasus spyware). Transitioned from offensive cyber to defense.,Israeli,
dream-security,Dream Security,Sebastian Kurz,Co-Founder & President,Former Chancellor of Austria. VP of business development at Dream Security.,Austrian,
dream-security,Dream Security,Gil Dolev,Co-Founder & CTO,Founder and former CEO of Wayout Group.,Israeli,
dualentry,Dualentry,Santiago Nestares,Co-Founder & CEO,"Previously co-founded Benitago (Amazon brand aggregator, scaled to $100M+ revenue). Experienced legacy ERP frustrations firsthand.",Latin American,
dualentry,Dualentry,Benedict Dohmen,Co-Founder,,German,
dust,Dust,Stanislas Polu,Co-Founder & CTO,"Former Research Engineer at OpenAI (3 years, studying mathematical reasoning in LLMs). Previously software engineer at Stripe. Co-founded Totems (acquired by Stripe in 2015) with Gabriel Hubert.",French,
dust,Dust,Gabriel Hubert,Co-Founder & CEO,Ecole Polytechnique + Stanford. Former CPO at Alan (European insurtech). Previously at Stripe (geographical expansion and product). Co-founded Totems with Stanislas Polu.,French,
dyna-robotics,Dyna Robotics,Lindon Gao,Co-Founder & CEO,Previously co-founded Caper AI (acquired by Instacart for $350M). Repeat entrepreneur in AI hardware.,Chinese-American,
dyna-robotics,Dyna Robotics,York Yang,Co-Founder,Previously co-founded Caper AI (acquired by Instacart for $350M). Repeat entrepreneur.,Chinese-American,
dyna-robotics,Dyna Robotics,Jason Ma,Co-Founder,Former research scientist at Google DeepMind and NVIDIA. Developed foundation models for robotics.,Chinese-American,
e2b,E2B,Vasek Mlejnsky,Co-Founder & CEO,Studied at the Faculty of Mathematics and Physics (Czech Republic). Longtime friends with Tomas Valenta. Czech entrepreneur.,Czech,
e2b,E2B,Tomas Valenta,Co-Founder & CTO,Studied at the Faculty of Mathematics and Physics (Czech Republic). Technical co-founder with deep systems engineering expertise.,Czech,
earendil-labs,Earendil Labs,Jian Peng,CEO,PhD from Hunan University. Former Associate Professor at UIUC.,Chinese,
earendil-labs,Earendil Labs,Zhenping Zhu,President & Co-CEO,MD from Jiangxi Medical College. PhD immunology from Dalhousie University. Former Global VP Protein Sciences at Novartis.,Chinese,
earth-ai,Earth Ai,Roman Teslyuk,"Founder, CEO & CTO",Ukrainian-born. Graduate studies at University of Sydney in mining/geology. Spun Earth AI out of doctoral research.,Ukrainian,
earth-ai,Earth Ai,Igor Gerechko,Co-Founder,,Ukrainian,
edra,Edra,Eugen Alpeza,Co-Founder & CEO,7 years at Palantir. Co-head of forward deployed AI engineering. Started Palantir's work with AT&T. Launched Palantir's AI Platform.,Croatian,
edra,Edra,Yannis Karamanlakis,Co-Founder,First Forward Deployed AI Engineer at Palantir. Led team taking LLMs from demos to production.,Greek,
eightfold,Eightfold,Ashutosh Garg,Co-Founder & Co-CEO,"BTech from IIT-Delhi, PhD from UIUC. Former CTO & Co-Founder of BloomReach. Previously at Google (search/ML infrastructure) and IBM Research. 50+ patents, 30+ papers, author of a book on machine learning.",Indian,
eightfold,Eightfold,Varun Kacholia,Co-Founder & CTO,Ranked,Indian,
eikona,Eikona,Nir Weingarten,Co-Founder & CEO,IDC Herzliya. Based in Tel Aviv.,Israeli,
eikona,Eikona,Omer Hacohen,Co-Founder & CTO,"BSc Ben-Gurion University, BSc Open University of Israel. Former Team Lead AI SDK (Compiler) at NeuReality. Former Israeli Air Force.",Israeli,
elevenlabs,Elevenlabs,Mati Staniszewski,CEO,"Ex-Palantir deployment strategist; studied mathematics at Imperial College London; grew up in Warsaw, Poland",Polish,
elevenlabs,Elevenlabs,Piotr Dabkowski,CTO,"Ex-Google machine learning engineer; degrees from Oxford and Cambridge (AI/ML focus); NeurIPS-published researcher (image detection); grew up in Warsaw, Poland",Polish,
elicit,Elicit,Andreas Stuhlmuller,Co-Founder & CEO,"PhD in Cognitive Science from MIT. Postdoc in Computation and Cognition at Stanford. Co-created WebPPL (probabilistic programming language). Founded Ought, an AI research nonprofit in 2017, from which Elicit was spun out as a public benefit corporation.",German (inferred from name),
eliseai,Eliseai,Minna Song,CEO & Co-Founder,CS degree from MIT. Former intern at Microsoft and MIT Lincoln Laboratory. Discovered real estate communication inefficiencies while working as admin assistant at NYC residential real estate firm. Met Stoyanov at Cambridge.,Korean-American,
eliseai,Eliseai,Stoyan (Tony) Stoyanov,CTO & Co-Founder,CS degree from University of Cambridge. Met Minna Song while both were undergraduates at Cambridge. Co-founded EliseAI in 2017 to automate tenant communication.,Bulgarian,
ema,Ema,Surojit Chatterjee,CEO,"Ex-Coinbase CPO, ex-Google VP",Indian,
emanate,Emanate,Kiara Nirghin,CEO,"Stanford AI researcher, Google Science Fair Grand Prize winner, Thiel Fellow, youngest Google Impact Fund board member",South African (Indian descent),
embedder,Embedder,Ethan Gibbs,Co-Founder,YC S25 batch.,,
embedder,Embedder,Bob Wei,Co-Founder,YC S25 batch.,Chinese-American,
emerald-ai,Emerald Ai,Varun Sivaram,CEO,"Rhodes Scholar, physicist. Ex-McKinsey. Former CTO ReNew (India largest renewable). Biden admin adviser to John Kerry.",Indian-American,
emergent,Emergent,Mukund Jha,CEO,Former Co-Founder/CTO at Dunzo; worked at Google Columbia University (Engineering),Indian,
emergent,Emergent,Madhav Jha,CTO,"Von Neumann postdoctoral fellow at Sandia National Labs; founding member of Amazon SageMaker research team PhD in Theoretical Computer Science, Penn State University",Indian,
encharge-ai,Encharge Ai,Naveen Verma,Co-Founder & CEO,Professor of electrical and computer engineering at Princeton University. 2024 Edison Patent Award. Spun EnCharge out of Princeton research lab.,Indian-American,
encharge-ai,Encharge Ai,Felix Xiaochuan Lin,Co-Founder,,Chinese,
encharge-ai,Encharge Ai,Zizhen Zhong,Co-Founder,,Chinese,
encord,Encord,Eric Landau,Co-Founder & Co-CEO,Former lead quantitative researcher on global equity delta-one desk. Nearly a decade in high-frequency trading at DRW.,American,
encord,Encord,Ulrik Stig Hansen,Co-Founder & Co-CEO/President,Previously worked at J.P. Morgan. MSc Computer Science from Imperial College London.,Danish,
encord,Encord,Leeho Lim,Co-Founder,,Korean,
endra,Endra,Niklas Lindgren,CEO,Serial entrepreneur. Founded Sectragon (sold to PE). Saw MEP design inefficiency.,Swedish,
endra,Endra,Gustav Hammarlund,Technical Co-founder,Built Goldman Sachs EMEA equity trading infrastructure.,Swedish,
enfabrica,Enfabrica,Rochan Sankar,CEO,Former Broadcom and Google executive.,,
enflame-technology,Enflame Technology,Zhao Lidong,CEO,Co-founded Enflame Technology in 2018; leads AI chip development for cloud training and inference,Chinese,
enflame-technology,Enflame Technology,Zhang Yalin,Co-Founder,Co-founded Enflame Technology in 2018,Chinese,
engine-ai,Engine Ai,Zhao Tongyang,Founder & CEO,"8+ years in robotics. Started IoT business in 2012, invested in bipedal robots in 2016. Co-founded Shenzhen Pengxing Intelligent Research with XPeng Motors in 2018.",Chinese,
ensemble,Ensemble,Alex Reneau,Co-Founder & CEO,"PhD research at Northwestern University on programmable feature engineering for time series modeling; published multiple papers defining the field; research directly informed Ensemble's ""Dark Matter"" technology",American,
ensemble,Ensemble,Zach Albertson,Co-Founder & COO,Northwestern University; AI/ML consulting experience where he saw firsthand the challenges enterprises face implementing machine learning; practical background in data science and traditional ML,American,
enso,Enso,Mickey Haslavsky,Founder & CEO,"Co-founder of RapidAPI, one of the world's largest API development platforms.",Israeli,
entalpic,Entalpic,Mathieu Galtier,CEO,Former Chief Data & Platform Officer at Owkin (AI drug discovery unicorn); built Owkin's data partnership network with industrial leaders,French,
entalpic,Entalpic,Victor Schmidt,CTO,Researcher at Mila (Quebec AI Institute); authored papers on predictive and generative models for materials,French-Canadian,
entalpic,Entalpic,Alexandre Duval,CSO (Chief Scientific Officer),Researcher at Mila (Quebec AI Institute); co-authored foundational papers on AI for materials discovery,French,
enter-legal-brazil,Enter Legal Brazil,Mateus Costa-Ribeiro,CEO,"Brazil youngest lawyer at 18, Harvard Law, left Stanford MBA",Brazilian,
entire,Entire,Thomas Dohmke,Founder & CEO,Former CEO of GitHub (Microsoft). Stepped down August 2025 to start Entire.,German,
envariant,Envariant,Unknown,Co-Founder & CEO,ML research and interpretability background.,,
enveda,Enveda,Viswa Colluru,Founder & CEO,"PhD in immuno-oncology from University of Wisconsin-Madison. First Innovation Scientist and Product Manager at Recursion Pharmaceuticals. Son of a pharmacist from Visakhapatnam, India. Built Enveda from $55k of personal savings. Named UBS Global Visionary 2023, WEF Unicorn Innovator Community member.",Indian,
enveda,Enveda,Pieter Dorrestein,Scientific Co-Founder,One of the world's foremost experts in applying mass spectrometry to metabolomics. Professor at UC San Diego.,Dutch (inferred),
eon,Eon,Ofir Ehrlich,CEO,AWS alumnus; co-founded CloudEndure (acquired by Amazon in 2019); IDF Unit 8200 graduate,Israeli,
eon,Eon,Ron Kimchi,Co-founder,AWS alumnus; leads R&D center in Tel Aviv,Israeli,
eon,Eon,Gonen Stein,Co-founder,AWS alumnus; oversees business operations from New York,Israeli,
eos-ai,Eos Ai,Unknown,Co-Founder & CEO,Healthcare technology and AI background.,,
epirus,Epirus,Bo Marr,Co-Founder,Defense technology entrepreneur. Also co-founded Chaos Industries. Background in electromagnetic systems and directed-energy technology.,American,
epirus,Epirus,Joe Lonsdale,Co-Founder,Co-founder of Palantir Technologies and managing partner of 8VC. Stanford University graduate. One of the most prolific defense tech investors and company builders in Silicon Valley.,American,
epirus,Epirus,John Tenet,Co-Founder,Defense tech entrepreneur who later co-founded Chaos Industries. Background in defense technology and electronic warfare.,American,
epirus,Epirus,Max Mednik,Co-Founder,Technology entrepreneur and investor. Background in building technology companies.,American,
epirus,Epirus,Nathan Mintz,Co-Founder,Defense technology entrepreneur with expertise in directed-energy systems and counter-electronics applications.,American,
eragon-ai,Eragon Ai,Josh Sirota,Co-Founder & CEO,Previously at Oracle and Salesforce go-to-market teams. Scaled a Salesforce operating unit from inception to $200M ARR.,American,
eragon-ai,Eragon Ai,Rishabh Tiwari,Co-Founder,Berkeley CS PhD.,Indian,
eragon-ai,Eragon Ai,Vinayak Agarwal,Co-Founder,MIT PhD. Co-founder of K-Dense.,Indian,
eridu,Eridu,Drew Perkins,CEO & Co-Founder,"Networking industry veteran since the 1980s. Helped create Point-to-Point Protocol (PPP), a key part of TCP/IP. Co-founded Lightera Networks (sold to Ciena for $500M+, 1999). Co-founded Infinera (IPO'd, later sold to Nokia for $2.3B in 2025).",American,
eridu,Eridu,Omar Hassen,Chief Product Officer & Co-Founder,"Deep networking chip design experience. Previously held senior roles at Broadcom, Marvell, and International Rectifier managing chip design divisions.",Limited public information,
eridu,Eridu,Mike Capuano,Chief Business Development & Marketing Officer & Co-Founder,Most recently SVP of Business Development at Ventana Systems (RISC-V server chips). Background in semiconductor business development.,American,
espresso-ai,Espresso Ai,Ben Lerner,Co-Founder & CEO,Technical founder with expertise in cloud infrastructure and optimization.,American,
espresso-ai,Espresso Ai,Juri Ganitkevitch,Co-Founder,Technical co-founder with ML and NLP expertise.,German,
espresso-ai,Espresso Ai,Alex Kouzemtchenko,Co-Founder,Technical co-founder.,Russian-Australian,
espresso-ai,Espresso Ai,Nima Badizadegan,Co-Founder,Technical co-founder.,Iranian-American,
essential-ai,Essential Ai,Ashish Vaswani,Co-Founder & CEO,"BEng CS Birla Institute of Technology Mesra (2002), PhD CS USC (advised by David Chiang). Former researcher at Google Brain. Co-author of 'Attention Is All You Need' (2017) — the seminal paper introducing the Transformer architecture that underpins GPT, BERT, and modern LLMs.",Indian,
essential-ai,Essential Ai,Niki Parmar,Co-Founder (departed ~September 2024),"MS CS USC. Former researcher at Google (sentence similarity, question answering). Co-author of 'Attention Is All You Need' (2017). Close collaborator with Vaswani at Google.","Indian (from Pune, India)",
etched,Etched,Gavin Uberti,CEO,Harvard dropout; leading effort to build transformer-only ASIC inference chips,American,
etched,Etched,Chris Zhu,CTO,Harvard dropout; co-founded Etched in 2022,Chinese-American,
etched,Etched,Robert Wachen,Co-Founder,Harvard dropout; co-founded Etched in 2022,American,
eudia,Eudia,Omar Haroun,Co-Founder & CEO,Founded and sold Text IQ to Relativity. Led AI strategy at Relativity post-acquisition.,Egyptian-American,
eudia,Eudia,Ashish Agrawal,Co-Founder & CTO,"Technical leadership roles at Amazon, Apple, and Google.",Indian,
eudia,Eudia,David Van Reyk,Co-Founder & COO,Private equity and business transformations at CVC Capital Partners.,Australian,
eve-legal,Eve Legal,Jay Madheswaran,Co-Founder & CEO,15+ years in AI/ML at Facebook and Rubrik. Previously with Lightspeed Venture Partners.,South Asian,
eve-legal,Eve Legal,Matt,Co-Founder & CPO,Founding engineer at Rubrik. Decade of experience building AI products.,American,
eve-legal,Eve Legal,David Zeng,Co-Founder & Head of Engineering,10+ years in AI and machine learning.,Chinese-American,
evenup,Evenup,Rami Karabibar,CEO & Co-Founder,"Background in startup and VC operations. Previously worked across private equity, venture capital, and venture-backed startups including roles at Bain and Waymo.",Middle Eastern,
evenup,Evenup,Saam Mashhad,CPO & Co-Founder,Former litigation attorney. Legal background drives EvenUp's approach to AI-assisted demand letter generation and case workflow optimization.,Iranian-American,
evenup,Evenup,Raymond Mieszaniec,COO & Co-Founder,"BA Economics Simon Fraser University, MBA HKUST. Two-time entrepreneur (co-founded EquitySim). Former risk consultant at PwC Hong Kong. Former accountant at Scotiabank. Personal motivation: father permanently disabled in police-chase car accident, family received only 10% of average payout.",Canadian,
evertune,Evertune,Brian Stempeck,CEO,"Former Trade Desk (grew from 8 people to IPO), Nielsen board",American,
evident,Evident,Elena Samuylova,Co-Founder & CEO,"7+ years helping large enterprises deploy ML systems; Co-Founder and CPO at Mechanica AI (industrial AI startup); led business development at Yandex Data Factory (enterprise AI division of Yandex); Graduate School of Management, St. Petersburg State University and Vienna University of Economics; named in ""50 Women in Product Europe"" (2018)",Russia,
evident,Evident,Emeli Dral,Co-Founder & CTO,BS and MS in Applied Mathematics from Peoples' Friendship University of Russia; MS in Computer Science from Yandex School of Data Analysis; Chief Data Scientist at Yandex Data Factory; co-founded Mechanica AI; co-author of most popular Russian-language ML course on Coursera (100K+ students); 50+ real-world ML projects,Russia,
evisort,Evisort,Jerry Ting,CEO,"First-generation American. Harvard Law School. USC Summa Cum Laude, Trustee Scholar. Forbes 30 Under 30.",,
evolved-robotics,Evolved Robotics,Gur Kimchi,Co-founder,"Co-founder Amazon Prime Air, former VP Amazon",Israeli,
evolved-robotics,Evolved Robotics,Matthew Skeels,CEO,"Former Amazon Prime Air, former BRINC",,
exa,Exa,Will Bryk,CEO,CS & Physics Harvard. Led Harvard robotics club. One of the first engineers at Cresta (built real-time AI products). Published author on history of civilization. YC S21.,American,
exa,Exa,Jeff Wang,Co-Founder,CS & Philosophy Harvard. 3 years building data and web infrastructure at Plaid. Harvard roommate of Will Bryk. Ran GPU cluster in his dorm room.,American,
fable-security,Fable Security,Nicole Jiang,Co-Founder & CEO,Founding team member at Abnormal AI. Helped scale to hundreds of millions ARR. Pioneered behavioral-based security.,Chinese-American,
fable-security,Fable Security,Sanny Liao,Co-Founder & CPO,Dr. Founding team member at Abnormal AI. Pioneered behavioral-based security concept.,Chinese-American,
factory-ai,Factory Ai,Matan Grinberg,CEO,PhD in theoretical physics; met co-founder at an AI hackathon,American,
factory-ai,Factory Ai,Eno Reyes,CTO,Former data scientist at Hugging Face and Microsoft; thesis on deep learning and language models,Filipino-American,
fal-ai,Fal Ai,Burkay Gur,Co-Founder & CEO,Previously at Coinbase.,Turkish,
fal-ai,Fal Ai,Gorkem Yurtseven,Co-Founder,Previously at Amazon.,Turkish,
