company_slug,stage,date,amount_m,valuation_m,lead_investors,source,notes
openai,Secondary sale,2025-10-02,6600.0,500000.0,Thrive Capital; SoftBank; Dragoneer; MGX; T. Rowe Price,https://www.cnbc.com/2025/10/02/openai-share-sale-500-billion-valuation.html,"Employee/early-investor share sale. No new capital to the company. Made OpenAI the most valuable private company, surpassing SpaceX."
openai,Series C (Amazon / Nvidia / SoftBank),2026-02-27,110000.0,840000.0,Amazon; Nvidia; SoftBank,https://techcrunch.com/2026/02/27/openai-raises-110b-in-one-of-the-largest-private-funding-rounds-in-history/,"Amazon $50B, Nvidia $30B, SoftBank $30B. Pre-money $730B. Largest private financing in history. Round remains open to additional investors. Includes expanded $100B AWS partnership over 8 years."
patronus-ai,,May 2024,17.0,,Notable Capital,,
patronus-ai,,September 2023,3.0,,Lightspeed Venture Partners,,
patronus-ai,,~2024,20.5,,,,SEC exempt offering filing; may represent Series A extension or follow-on round
physical-intelligence,Seed,2024-03,70.0,400.0,Thrive Capital,https://www.crunchbase.com/funding_round/physical-intelligence-834b-seed--0936ae55,7 investors participated. Initial capital to develop foundational models and learning algorithms for robots.
physical-intelligence,Series A,2024-11,400.0,2000.0,Jeff Bezos; Lux Capital; Thrive Capital,https://www.cnbc.com/2024/11/04/jeff-bezos-and-openai-invest-in-robot-startup-physical-intelligence.html,"Other investors include OpenAI's startup fund, Redpoint Ventures, and Bond. Some sources report valuation at $2.4B rather than $2B -- exact figure uncertain."
physical-intelligence,Series B,2025-11,600.0,5600.0,CapitalG,https://www.therobotreport.com/physical-intelligence-raises-600m-advance-robot-foundation-models/,"CapitalG (Alphabet's independent growth fund) led. Participation from Lux Capital, Thrive Capital, Jeff Bezos, Index Ventures, T. Rowe Price, Redpoint Ventures, Sequoia Capital, Bond, and NVIDIA (NVentures). Funding earmarked for data collection, strategic partnerships, and team growth."
pinecone,Seed,2021-01,10.0,,Wing Venture Capital,https://news.crunchbase.com/ai-robotics/startup-venture-funding-database-pinecone/,Early investment as Pinecone began commercializing vector search.
pinecone,Series A,2021-12,28.0,170.0,Menlo Ventures,https://www.calcalistech.com/ctechnews/article/bkx1111tg79,Some sources cite $17M; Calcalist/Ctech reported $28M. Wing Venture Capital also participated.
pinecone,Series B,2023-04,100.0,750.0,Andreessen Horowitz,https://techcrunch.com/2023/04/27/pinecone-drops-100m-investment-on-750m-valuation-as-vector-database-demand-grows/,"Iconiq Growth, Menlo Ventures, and Wing Venture Capital also participated. Raised amid the 2023 generative AI boom."
reka-ai,Series A,2023-06,58.0,300.0,DST Global,https://techcrunch.com/2023/06/27/reka-emerges-from-stealth-to-build-custom-ai-models-for-the-enterprise/,Emerged from stealth. Nat Friedman (former GitHub CEO) participated as an angel investor.
reka-ai,Series B,2025-07,110.0,1000.0,Nvidia; Snowflake,https://siliconangle.com/2025/07/22/multimodal-ai-startup-reka-ai-raises-110m-1b-valuation/,"Reached unicorn status. Snowflake had previously explored acquiring Reka for $1B+ in May 2024, but talks broke down. The two companies instead pursued a strategic investment relationship."
replit,Pre-Seed,2016-10,,,,https://research.contrary.com/company/replit,
replit,Y Combinator (W18),2018-01,,,,https://blog.replit.com/yc,
replit,Seed,2018-10,,,,https://blog.replit.com/a16z,
replit,Series A,2021-02-18,,,,https://tracxn.com/d/companies/replit/__PUWtoWCDA1Qjxd1rE0XG7GgDNdav8DNlaP_1EkZUh3A/funding-and-investors,
replit,Series B,2021-12-10,,,,https://tracxn.com/d/companies/replit/__PUWtoWCDA1Qjxd1rE0XG7GgDNdav8DNlaP_1EkZUh3A/funding-and-investors,
replit,Series B Extension,2023-04-25,,,,https://blog.replit.com/b-extension,
replit,Series C,2025-09,,,,https://replit.com/news/funding-announcement,
replit,Series D,2026-03,,,,https://theaiinsider.tech/2026/03/16/replit-raises-400m-to-expand-ai-coding-platform-at-9b-valuation/,
sanctuary-ai,,,,,,,
sanctuary-ai,,2022-03,,,Magna International,,
sanctuary-ai,,2024-07,,,,,
sanctuary-ai,,2025 (target close May 2025),,,,,Also selling ~$125M stake in Apptronik to total ~$175M in new capital
sanctuary-ai,,2025-01,,,,,
saronic-technologies,Seed,2022-06,,,,https://sacra.com/c/saronic/,
saronic-technologies,Series A,2023-10,55.0,,,https://sacra.com/c/saronic/,
saronic-technologies,Series B,2024-07,175.0,1000.0,Andreessen Horowitz,https://breakingdefense.com/2024/07/defense-tech-startup-saronic-announces-175m-in-series-b-funding/,
saronic-technologies,Series C,2025-02,600.0,4000.0,Elad Gil,https://www.prnewswire.com/news-releases/saronic-raises-600m-series-c-to-take-on-autonomous-shipbuilding-302379441.html,
scale-ai,,2016,,,Y Combinator,https://tracxn.com/d/companies/scaleai/__iQC-P6zm6-YIchaMdt_UtWRoQNAzQYgkyxD99e8U-cI/funding-and-investors,Went through Y Combinator batch
scale-ai,,2017-05,4.5,,Accel,https://wellfound.com/company/scale-ai/funding,
scale-ai,,2018,18.0,,Index Ventures,https://www.indexventures.com/perspectives/scale-announces-18-million-in-series-b-funding-led-by-index-ventures/,Accel and Y Combinator participated
scale-ai,,2019-08-05,100.0,1000.0,Founders Fund,https://techcrunch.com/2019/08/05/scale-ai-and-its-22-year-old-ceo-lock-down-100-million-to-help-label-silicon-valleys-data/,"Coatue, Thrive Capital, Spark Capital, Index Ventures, Accel also participated. Angel investors included Kevin Systrom, Mike Krieger (Instagram founders) and Adam D'Angelo (Quora CEO).
"
scale-ai,,2020-12,155.0,3500.0,Tiger Global Management,https://www.builtinsf.com/articles/scale-raises-155m-series-d-artificial-intelligence-hiring,
scale-ai,,2021-04-13,325.0,7300.0,Dragoneer Investment Group; Greenoaks Capital; Tiger Global,https://www.finsmes.com/2021/04/scale-ai-raises-325m-in-series-e-funding.html,Wellington Management and Durable Capital joined as new investors
scale-ai,,2024-05,1000.0,13800.0,Accel,https://techcrunch.com/2024/05/21/data-labeling-startup-scale-ai-raises-1b-as-valuation-doubles-to-13-8b/,"Nvidia, Meta, Amazon invested alongside Y Combinator, Index Ventures, Founders Fund, Coatue, Thrive Capital, Spark Capital, Tiger Global, Greenoaks Capital, and Wellington Management.
"
scale-ai,,2025-06,14300.0,29000.0,Meta,https://techcrunch.com/2025/06/13/new-details-emerge-on-metas-14-3b-deal-for-scale/,Meta acquired 49% non-voting stake. Alexandr Wang departed to Meta as Chief AI Officer. One of the largest private AI transactions in history.
shield-ai,Seed,2016-05,2.05,,Homebrew,https://tracxn.com/d/companies/shield-ai/__xWAZxcGRQErj0eca7RojeCvAoVKfcEIPX0V-RwwoAJk/funding-and-investors,
shield-ai,Series A,2017-03,10.5,,Andreessen Horowitz,https://www.crunchbase.com/funding_round/shield-ai-series-a--67e5fba3,
shield-ai,Series B,2019-08,25.0,,Breyer Capital,https://tracxn.com/d/companies/shield-ai/__xWAZxcGRQErj0eca7RojeCvAoVKfcEIPX0V-RwwoAJk/funding-and-investors,
shield-ai,Series C,2021-02,90.0,,Point72 Ventures,https://tracxn.com/d/companies/shield-ai/__xWAZxcGRQErj0eca7RojeCvAoVKfcEIPX0V-RwwoAJk/funding-and-investors,
shield-ai,Series D,2021-08,210.0,,,https://tracxn.com/d/companies/shield-ai/__xWAZxcGRQErj0eca7RojeCvAoVKfcEIPX0V-RwwoAJk/funding-and-investors,
shield-ai,Series E,2022-06,165.0,2300.0,,https://www.crunchbase.com/funding_round/shield-ai-series-e--228e9a72,
shield-ai,Series F,2023-10,200.0,2700.0,U.S. Innovative Technology Fund (USIT); Riot Ventures,https://news.crunchbase.com/ai/defense-tech-startup-venture-aircraft-shield/,
shield-ai,Series F-1,2025-03,240.0,5300.0,L3Harris; Hanwha Asset Management,https://techcrunch.com/2025/03/06/shield-ai-raises-240-million-at-a-5-3-billion-valuation-to-commercialize-its-ai-drone-tech/,
shield-ai,Series G (in talks),2026-02,1000.0,12000.0,,https://www.bloomberg.com/news/articles/2026-02-13/shield-ai-in-talks-to-raise-1-billion-at-12-billion-valuation,
sigma-computing,,2019-11,,,Sutter Hill Ventures,https://tracxn.com/d/companies/sigma/__6Ey-Cn1NtwqHCDL5voJWgm75xwVxjte6Xhh6SKxOcgA/funding-and-investors,
sigma-computing,,2019-11,,,Sutter Hill Ventures,https://tracxn.com/d/companies/sigma/__6Ey-Cn1NtwqHCDL5voJWgm75xwVxjte6Xhh6SKxOcgA/funding-and-investors,
sigma-computing,,2021-11,,,D1 Capital Partners,https://tracxn.com/d/companies/sigma/__6Ey-Cn1NtwqHCDL5voJWgm75xwVxjte6Xhh6SKxOcgA/funding-and-investors,
sigma-computing,,2024-05,,,Spark Capital; Avenir Growth Capital,https://siliconangle.com/2024/05/16/business-intelligence-startup-sigma-closes-200m-round-1-5b-valuation/,
simile,Series A,2026-02-12,100.0,,Index Ventures (Shardul Shah),https://siliconangle.com/2026/02/12/ai-digital-twin-startup-simile-raises-100m-funding/,No publicly known seed round prior to the Series A. The company emerged from stealth after ~7 months of development. Valuation not disclosed. Legal counsel by Latham & Watkins.
skild-ai,Seed,2023,14.5,,Lightspeed Venture Partners; Sequoia Capital,https://sacra.com/c/skild-ai/,Co-led by Lightspeed and Sequoia. Initial capital to begin developing a robotics foundation model.
skild-ai,Series A,2024-07,300.0,1500.0,Lightspeed Venture Partners; Coatue; SoftBank Group; Bezos Expeditions,https://www.businesswire.com/news/home/20240709306400/en/Skild-AI-Raises-$300M-Series-A-To-Build-A-Scalable-AI-Foundation-Model-For-Robotics,"Additional participants included Felicis Ventures, Sequoia, Menlo Ventures, General Catalyst, CRV, SV Angel, Carnegie Mellon University, and the Amazon Industrial Innovation Fund & Alexa Fund. Valued at $1.5B -- reaching unicorn status barely a year after founding."
skild-ai,Series B,2025-05,500.0,4700.0,SoftBank Group,https://techcrunch.com/2025/12/08/softbank-and-nvidia-reportedly-in-talks-to-fund-skildai-at-14b-nearly-tripling-its-value/,"Participation from LG Technology Ventures, Samsung, NVIDIA, and others. Some sources report this as April 2025 rather than May; exact date uncertain. Valuation reported as $4.5B-$4.7B across sources."
skild-ai,Series C,2026-01-14,1400.0,14000.0,SoftBank Group,https://www.businesswire.com/news/home/20260114335623/en/Skild-AI-Raises-$1.4B-Now-Valued-Over-$14B,"Participation from NVentures (NVIDIA), Macquarie Capital, Bezos Expeditions, Disruptive, 1789 Capital. Existing investors Lightspeed, Felicis, Coatue, and Sequoia doubled down. Strategic investors Samsung, LG, Schneider, CommonSpirit, and Salesforce Ventures also joined. Valuation tripled in ~7 months."
skydio,Seed,2014-12,3.0,,Accel,https://sacra.com/c/skydio/,
skydio,Series A,2017-02,25.0,,Andreessen Horowitz,https://sacra.com/c/skydio/,
skydio,Series B,2019-10,30.0,,IVP,https://sacra.com/c/skydio/,
skydio,Series C,2020-07,100.0,1000.0,Andreessen Horowitz,https://sacra.com/c/skydio/,
skydio,Series D,2021-03,170.0,,Andreessen Horowitz,https://sacra.com/c/skydio/,
skydio,Series E,2023-02,230.0,2200.0,Linse Capital,https://www.skydio.com/blog/skydio-raises-230-million-series-e-funding-round,
skydio,Series E Extension,2024-11,170.0,2200.0,KDDI; Axon,https://techcrunch.com/2024/11/15/drone-manufacturer-skydio-raises-170-million-extension-round/,
sunday-robotics,,"March 12, 2026",165.0,1150.0,,,
sunday-robotics,,November 2025,35.0,,Benchmark; Conviction,,
thoughtspot,,2012,,,Lightspeed Venture Partners,https://tracxn.com/d/companies/thoughtspot/__j0eT_Leq8_wjW3vvd9FqpizTJQ8ZdOcLZdd38ouF0fs/funding-and-investors,
thoughtspot,,2014,,,Khosla Ventures,https://tracxn.com/d/companies/thoughtspot/__j0eT_Leq8_wjW3vvd9FqpizTJQ8ZdOcLZdd38ouF0fs/funding-and-investors,
thoughtspot,,2016-05,,,General Catalyst,https://tracxn.com/d/companies/thoughtspot/__j0eT_Leq8_wjW3vvd9FqpizTJQ8ZdOcLZdd38ouF0fs/funding-and-investors,
thoughtspot,,2018-05,,,Sapphire Ventures,https://tracxn.com/d/companies/thoughtspot/__j0eT_Leq8_wjW3vvd9FqpizTJQ8ZdOcLZdd38ouF0fs/funding-and-investors,
thoughtspot,,2019-08,,,Lightspeed Venture Partners,https://www.thoughtspot.com/press-releases/thoughtspot-raises-248m-195b-valuation-transform-enterprises-search-ai-driven-analytics,
thoughtspot,,2021-11,,,March Capital,https://www.thoughtspot.com/press-releases/thoughtspot-raises-new-funding-at-usd4-2b-valuation,
tonic-ai,,2020-12,,,Bloomberg Beta,https://tracxn.com/d/companies/tonic.ai/__aH4sk1uBlJJqPKKpDrBUg4A62BmZKPwLerMcy3ZPhMs/funding-and-investors,
tonic-ai,,2021-09,,,Insight Partners,https://www.tonic.ai/press-releases/series-b,
vannevar-labs,Seed,2019-01,,,Costanoa Ventures,https://research.contrary.com/company/vannevar-labs,
vannevar-labs,Series A,2021-01,12.0,,Costanoa Ventures,https://www.crunchbase.com/organization/vannevar-labs,
vannevar-labs,Series B,2023-01,75.0,,Felicis Ventures,https://siliconangle.com/2023/01/19/defense-technology-startup-vannevar-labs-raises-75m-funding/,
vectara,Seed,2022-10,20.0,,,https://tracxn.com/d/companies/vectara/__B2HorZ0b9oeKtrr4S1EDjqD-0h8QipBkMx5sL3VtgNk/funding-and-investors,Initial seed round as Vectara launched out of stealth.
vectara,Seed (extension),2023-05,28.5,,Race Capital,https://tracxn.com/d/companies/vectara/__B2HorZ0b9oeKtrr4S1EDjqD-0h8QipBkMx5sL3VtgNk/funding-and-investors,"Largest funding round to date. Investors include Alumni Ventures, WVV Capital, Samsung Next, Fusion Fund, Green Sands Equity, Mack Ventures."
vectara,Series A,2024-07,25.0,,FPV Ventures; Race Capital,https://www.businesswire.com/news/home/20240716489550/en/Vectara-Secures-25-Million-Series-A-Funding-to-Advance-the-Trustworthiness-of-Retrieval-Augmented-Generation-with-New-Mockingbird-LLM,"Coincided with launch of Mockingbird LLM, a model purpose-built for RAG applications."
weaviate,Seed,2020-08,1.6,,Zetta Venture Partners,https://www.prnewswire.com/news-releases/semi-technologies-16m-series-a-round-highlights-a-new-wave-of-ai-first-database-tech-301486766.html,ING Ventures also participated. Raised under the original company name SeMI Technologies.
weaviate,Series A,2022-02,16.0,,New Enterprise Associates (NEA); Cortical Ventures,https://www.prnewswire.com/news-releases/semi-technologies-16m-series-a-round-highlights-a-new-wave-of-ai-first-database-tech-301486766.html,Co-led by NEA and Cortical Ventures. Zetta Venture Partners and ING Ventures also participated. Still operating as SeMI Technologies.
weaviate,Series B,2023-04,50.0,,Index Ventures,https://www.prnewswire.com/news-releases/weaviate-raises-50-million-series-b-funding-to-meet-soaring-demand-for-ai-native-vector-database-technology-301803296.html,"Battery Ventures participated. Existing investors NEA, Cortical Ventures, Zetta Venture Partners, and ING Ventures also joined. Company had rebranded from SeMI Technologies to Weaviate by this point."
weaviate,Series C,2025-10,50.0,200.0,Battery Ventures; Zetta Venture Partners,https://salestools.io/en/report/weaviate-raises-50m-series-c,$200M valuation reported by SalesTools AI. Note: some sources report total raised as $67.6M rather than $117.6M -- there may be discrepancies in how earlier rounds are counted. The $117.6M figure sums all four rounds above.
world-labs,Seed / Series A,2024-09,230.0,1000.0,Andreessen Horowitz; NEA; Radical Ventures,https://techcrunch.com/2024/09/13/fei-fei-lis-world-labs-comes-out-of-stealth-with-230m-in-funding/,"Emerged from stealth. $100M seed + $130M Series A extension. Other investors included NVentures (Nvidia), AMD Ventures, Adobe Ventures, Databricks Ventures, Salesforce Ventures. Angel investors included Marc Benioff, Jeff Dean, Geoffrey Hinton, Reid Hoffman, Eric Schmidt, and Ashton Kutcher."
world-labs,Series B,2026-02,1000.0,5000.0,Andreessen Horowitz; Autodesk,https://techcrunch.com/2026/02/18/world-labs-lands-200m-from-autodesk-to-bring-world-models-into-3d-workflows/,"Autodesk invested $200M as a strategic partner. Nvidia, AMD, Fidelity Management & Research, Emerson Collective, and Sea Group also participated. Valuation ~$5B per Bloomberg -- a 5x increase from the $1B valuation 16 months prior. Valuation was not officially disclosed."
xai,,2023-11,134.7,,Undisclosed,https://en.wikipedia.org/wiki/XAI_(company),"Disclosed via SEC filing in December 2023. Investors not formally announced. Reports suggest early backers included Valor Equity Partners and other Musk-aligned investors. Musk stated at the time xAI was ""not seeking funding right now.""
"
xai,,2024-05-26,6000.0,24000.0,Valor Equity Partners; Andreessen Horowitz; Sequoia Capital,https://techcrunch.com/2024/05/26/elon-musks-xai-raises-6b-from-valor-a16z-and-sequoia/,"Pre-money valuation of $18B. Other investors included Vy Capital, Fidelity Management & Research Company, Prince Alwaleed Bin Talal, and Kingdom Holding Company. Funds used to bring Grok to market and build GPU infrastructure.
"
xai,,2024-12-23,6000.0,45000.0,Andreessen Horowitz; Sequoia Capital; BlackRock,https://x.ai/news/series-c,"Investors included a16z, BlackRock, Fidelity, Kingdom Holdings (~$400M), Lightspeed, MGX, Morgan Stanley, OIA, QIA, Sequoia, Valor Equity Partners, Vy Capital, NVIDIA, and AMD. Only investors from prior rounds were permitted to participate. Brought total raised to ~$12B.
"
xai,,2025-07-01,10000.0,75000.0,Morgan Stanley (debt); Kingdom Holdings / PIF (equity),https://www.cnbc.com/2025/07/01/elon-musk-xai-raises-10-billion-in-debt-and-equity.html,"The debt offering was oversubscribed. Saudi Arabia's PIF acquired ~$800M stake via Kingdom Holdings. SpaceX contributed $2B in equity. Funds directed toward Colossus supercomputer expansion in Memphis.
"
xai,,2025-09,10000.0,200000.0,Undisclosed institutional investors,https://www.cnbc.com/2025/09/19/musks-xai-10-billion-at-200-billion-valuation.html,"Valuation quadrupled in under 3 months from the July round. Some sources count this as a separate round; others view it as an extension. The speed of valuation increase from ~$75-150B to $200B raised eyebrows. Exact designation uncertain.
"
xai,,2026-01-06,20000.0,230000.0,Valor Equity Partners; NVIDIA; Fidelity,https://www.cnbc.com/2026/01/06/elon-musk-xai-raises-20-billion-from-nvidia-cisco-investors.html,"Investors included NVIDIA (~$2B), Cisco Investments, Valor Equity Partners, StepStone Group, Fidelity, Qatar Investment Authority, MGX (Abu Dhabi), Baron Capital Group, and Tesla (~$2B). Initially targeted $15B but upsized due to demand. Largest single private funding round at time of close.
"
xai,,2026-02-02,,250000.0,SpaceX,https://fortune.com/2026/02/02/elon-musk-spacex-xai-ipo-trillion/,"Structured as all-stock acquisition: 1 xAI share = 0.1433 SpaceX shares (xAI at $75.46/share, SpaceX at $526.59/share). Largest merger of all time by combined valuation. Announced ahead of anticipated SpaceX IPO. Musk cited plans to build ""orbital data centers"" as rationale."
